Plot #,GPS #,Date Harvested,% Cover,Height 1,Height 2,Height 3,Height 4,Average Height,Wet Weight (g),Dry Weight (g),Site,Type,Tree Species,Bag Size,Average Bag Weight (g),Wet Weight Without Bag (g),Dry Weight Without Bag (g),Water Weight (g),Max Height (cm),Max Height (m)
1,1,14/01/2022,15,5,3,3,4,3.75,24.87,24.57,KLEE,OUT,N/A,small,16.0905,8.7795,8.4795,0.3,5,0.05
2,2,14/01/2022,70,14,8,12,17,12.75,90.56,87.44,KLEE,OUT,N/A,small,16.0905,74.4695,71.3495,3.12,17,0.17
3,3,14/01/2022,75,54,26,50,53,45.75,181.27,172.07,KLEE,OUT,N/A,small,16.0905,165.1795,155.9795,9.2,54,0.54
4,4,14/01/2022,100,38,25,34,64,40.25,420.07,387.73,KLEE,IN,BO,big,32.334,387.736,355.396,32.34,64,0.64
5,5,14/01/2022,15,3,5,0,33,10.25,31.15,30.32,KLEE,OUT,N/A,small,16.0905,15.0595,14.2295,0.83,33,0.33
6,6,14/01/2022,60,15,10,8,11,11,92.03,89.81,KLEE,OUT,N/A,small,16.0905,75.9395,73.7195,2.22,15,0.15
7,7,14/01/2022,90,26,13,10,17,16.5,120.47,117.12,KLEE,IN,AD,small,16.0905,104.3795,101.0295,3.35,26,0.26
8,8,14/01/2022,100,19,23,17,15,18.5,197.14,193.03,KLEE,IN,AD,big,32.334,164.806,160.696,4.11,23,0.23
9,9,14/01/2022,10,3,3,3,0,2.25,22.88,22.86,KLEE,OUT,N/A,small,16.0905,6.7895,6.7695,0.02,3,0.03
10,10,14/01/2022,100,60,59,37,29,46.25,511.3,502.4,KLEE,OUT,N/A,big,32.334,478.966,470.066,8.9,60,0.6
11,11,14/01/2022,30,5,0,15,4,6,32.86,32.65,KLEE,OUT,N/A,small,16.0905,16.7695,16.5595,0.21,15,0.15
12,12,14/01/2022,100,33,17,18,21,22.25,211.21,202.53,KLEE,IN,AD,big,32.334,178.876,170.196,8.68,33,0.33
13,13,14/01/2022,40,13,5,4,11,8.25,52.17,50.98,KLEE,OUT,N/A,small,16.0905,36.0795,34.8895,1.19,13,0.13
14,14,14/01/2022,25,4,0,0,14,4.5,49.55,48.62,KLEE,OUT,N/A,small,16.0905,33.4595,32.5295,0.93,14,0.14
15,15,14/01/2022,10,2,0,0,0,0.5,23.04,22.74,KLEE,OUT,N/A,small,16.0905,6.9495,6.6495,0.3,2,0.02
16,16,14/01/2022,100,23,26,21,18,22,279.71,265.47,KLEE,IN,BA,big,32.334,247.376,233.136,14.24,26,0.26
17,17,14/01/2022,40,0,12,10,8,7.5,83.82,81.87,KLEE,OUT,N/A,small,16.0905,67.7295,65.7795,1.95,12,0.12
18,18,14/01/2022,70,5,14,12,16,11.75,78.23,76.1,KLEE,IN,AD,small,16.0905,62.1395,60.0095,2.13,16,0.16
19,19,14/01/2022,20,0,4,0,5,2.25,36.33,35.35,KLEE,OUT,N/A,small,16.0905,20.2395,19.2595,0.98,5,0.05
20,20,14/01/2022,90,16,16,22,17,17.75,167.16,162.82,KLEE,OUT,N/A,small,16.0905,151.0695,146.7295,4.34,22,0.22
21,21,14/01/2022,95,47,50,26,22,36.25,244.19,238.38,KLEE,OUT,N/A,big,32.334,211.856,206.046,5.81,50,0.5
