,KrugerLowerSabie2022-A1,KrugerLowerSabie2022-A2,KrugerLowerSabie2022-A3,KrugerLowerSabie2022-A4,KrugerLowerSabie2022-A5,KrugerLowerSabie2022-A6,KrugerLowerSabie2022-A7,KrugerLowerSabie2022-A9,KrugerLowerSabie2022-A8,KrugerLowerSabie2022-A10,KrugerLowerSabie2022-B6,KrugerLowerSabie2022-B5,KrugerLowerSabie2022-B4,KrugerLowerSabie2022-B2,KrugerLowerSabie2022-B3,KrugerLowerSabie2022-B1,KrugerLowerSabie2022-A11,KrugerLowerSabie2022-A12,KrugerLowerSabie2022-A13,KrugerLowerSabie2022-B9,KrugerLowerSabie2022-B10,KrugerLowerSabie2022-B11,KrugerLowerSabie2022-B12,KrugerLowerSabie2022-B13,KrugerLowerSabie2022-B14,KrugerLowerSabie2022-B16,KrugerLowerSabie2022-B17,KrugerLowerSabie2022-A14,KrugerLowerSabie2022-A15,KrugerLowerSabie2022-A16,KrugerLowerSabie2022-B18,KrugerLowerSabie2022-B19,KrugerLowerSabie2022-A18,KrugerLowerSabie2022-A17,KrugerLowerSabie2022-A19,KrugerLowerSabie2022-A20,KrugerLowerSabie2022-B20,KrugerLowerSabie2022-B22,KrugerLowerSabie2022-B23,KrugerLowerSabie2022-A22,KrugerLowerSabie2022-B25,KrugerLowerSabie2022-A23,KrugerLowerSabie2022-A24,KrugerLowerSabie2022-A25,KrugerLowerSabie2022-B26,KrugerLowerSabie2022-B27,KrugerLowerSabie2022-A26,KrugerLowerSabie2022-A27,KrugerLowerSabie2022-A28,KrugerLowerSabie2022-A30,KrugerLowerSabie2022-A29,KrugerLowerSabie2022-B30,KrugerLowerSabie2022-B28,KrugerLowerSabie2022-B8,KrugerLowerSabie2022-B7
nlayers,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0
gapsize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0
maxpeakh,0.05,0.25,0.5,0.25,0.25,0.05,0.05,0.25,0.25,0.25,0.05,0.05,0.25,0.25,0.25,0.25,0.5,0.05,2.75,0.25,0.25,0.5,0.25,0.05,0.25,0.25,0.25,0.25,0.05,0.25,0.25,0.05,0.05,0.25,0.25,0.05,0.25,1.25,0.25,0.05,0.25,0.5,0.25,0.05,0.25,0.05,0.05,0.05,0.5,0.5,1.75,0.25,0.05,0.05,4.0
ptoh,0.4044203147420778,0.5922514263577899,0.9543287026234821,3.1242319514935333,0.5886508620609603,0.501876398121674,0.8896452226310015,0.8334401773182042,0.4840302129132741,0.600782838356773,0.6607417692413758,0.4585122686513997,0.746342397696379,0.5990989670398396,1.0325761169037626,1.3185338306338845,1.1170106056078426,0.5028572384612598,0.9240421762030092,0.530855427489926,1.486132350064221,1.0372088120169005,1.158968355952551,0.6249064756440711,1.0377707551124198,1.4279025346143144,1.3747451742784202,1.4758530246690487,0.3050658472920048,0.7357846339911336,0.8076721096504911,0.20323093840566003,0.8039657335929643,1.2598869138653885,0.48858619183778307,0.6176754367250139,1.1030102464210443,1.024317104834974,0.8243305280183766,0.7004723921318972,0.4723084465697406,1.1508765697537024,0.5402434422241627,0.1321602003439567,1.5743290558600485,0.08861348928679429,0.6481096638579513,0.5007957177435989,1.1611254935391135,1.1314318822782439,0.7260752350912799,1.1332297976320576,0.6085873231924147,0.7080169515484089,0.909397160728018
cscore,0.03225806451612903,0.04838709677419355,0.06451612903225806,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.04838709677419355,0.04838709677419355,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.22580645161290322,0.06451612903225806,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.04838709677419355,0.06451612903225806,0.03225806451612903,0.04838709677419355,0.08064516129032258,0.03225806451612903,0.04838709677419355,0.12903225806451613,0.04838709677419355,0.04838709677419355,0.06451612903225806,0.04838709677419355,0.04838709677419355,0.06451612903225806,0.04838709677419355,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.04838709677419355,0.1935483870967742,0.04838709677419355,0.04838709677419355,0.03225806451612903,0.3064516129032258
FHD,0.6465036520083403,0.7428010662381923,0.758395754571932,0.6615632381579821,0.8285063540178184,0.42270908780599087,0.1173667723603911,0.5506547239079489,0.7732303469556134,0.7736841709048804,0.6400743670705318,,0.8801039375148972,0.6313396758629081,0.6950299587092986,0.6318873589149205,0.7767002891382454,0.6562408706276684,2.2902257431170137,0.87172797442767,0.687972972088721,0.5774192847082882,0.5882745772230049,0.6069636115082722,0.4810999678406804,0.6683986058406349,0.7298643990797121,0.692493822984783,0.6730116670092565,0.6404617909584289,0.5748098174835995,0.7430321042647136,0.09650896073594732,0.7152578551827549,0.7998108657423578,0.3092428890264206,0.6708521675237475,1.3393327639284125,0.6838182050827774,,0.7854625938090474,0.7210613129567109,0.7616872969742735,0.7798629182348368,0.7009900545956663,,0.3073817631731983,0.45668907737421915,0.8007677617769089,0.7980895184987085,2.133317884051226,0.5659439103680627,0.5387716383256244,0.6702631314489342,2.426124585462004
VDR,0.708296537399292,0.43634262681007385,0.42506906390190125,0.4194236397743225,0.4899683892726898,0.7081227898597717,0.5377413630485535,0.7946507334709167,0.8999242186546326,0.6036722660064697,0.6482735276222229,0.6535979509353638,0.8148476481437683,0.6248685717582703,0.8246320486068726,0.661310076713562,0.472677618265152,0.6367243528366089,0.5348072052001953,0.6135398149490356,0.7322278022766113,0.3738797903060913,0.6195963025093079,0.6196905374526978,0.6167356371879578,0.6893192529678345,0.8992233872413635,0.7410374283790588,0.8029775023460388,0.6292573809623718,0.6278031468391418,0.9085222482681274,0.8074570894241333,0.8217648267745972,0.7061144709587097,0.7619964480400085,0.8740409016609192,0.9092653393745422,0.7054280042648315,0.9574164748191833,0.7256069183349609,0.42659518122673035,0.47277817130088806,0.9169862866401672,0.8819235563278198,0.9294317364692688,0.7761422395706177,0.7125058770179749,0.5105051398277283,0.44684070348739624,0.7111002206802368,0.8813159465789795,0.9506204724311829,0.36642777919769287,0.3462204933166504
VDRpeak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.5
meanpeakh,0.05,0.25,0.5,0.25,0.25,0.05,0.05,0.25,0.25,0.25,0.05,0.05,0.25,0.25,0.25,0.25,0.5,0.05,1.4333333333333333,0.25,0.25,0.5,0.25,0.05,0.25,0.25,0.25,0.25,0.05,0.25,0.25,0.05,0.05,0.25,0.25,0.05,0.25,0.75,0.25,0.05,0.25,0.5,0.25,0.05,0.25,0.05,0.05,0.05,0.5,0.5,1.0,0.25,0.05,0.05,2.0833333333333335
stdpeakh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1032779442290244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.532064692570853
