,featureid,id,coverherb_0m,coverherb_5cm,cover_0m,cover_5cm,Plot #,GPS #,Date Harvested,% Cover,Height 1,Height 2,Height 3,Height 4,Average Height,Wet Weight (g),Dry Weight (g),Site,Type,Tree Species,Bag Size,Average Bag Weight (g),Wet Weight Without Bag (g),Dry Weight Without Bag (g),Water Weight (g),Max Height (cm),Max Height (m),0,25,50,75,98,100,mean,std,nlayers,gapsize,maxpeakh,ptoh,cscore,FHD,VDR,VDRpeak,meanpeakh,stdpeakh,cvpeakh,herbh,log(DryWeight)
0,Mpala01-13,13,0.5081967213114754,0.1639344262295081,0.5081967213114754,0.1639344262295081,13.0,13.0,14/01/2022,40.0,13.0,5.0,4.0,11.0,8.25,52.17,50.98,KLEE,OUT,,small,16.0905,36.0795,34.8895,1.19,13.0,0.13,0.0509844608604908,0.0543620325624942,0.0594582725316286,0.0631488058716058,0.0812085200846195,0.0822539553046226,0.0616868063807487,0.0098644280806183,1.0,0.0,0.05,0.6078735036488879,0.032258064516129,0.4461368445195232,0.8855887651443481,0.0,0.05,0.0,0.0,0.2647462757932589,3.552185924342199
1,Mpala01-1,1,0.3035714285714285,0.0,0.3035714285714285,0.0,1.0,1.0,14/01/2022,15.0,5.0,3.0,3.0,4.0,3.75,24.87,24.57,KLEE,OUT,,small,16.0905,8.7795,8.4795,0.3,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,1.0457066789080771,0.032258064516129,0.0895780266675439,1.0,0.0,0.05,0.0,0.0,0.1721589886710147,2.137651485801318
2,Mpala01-2,2,0.3985712714149003,0.13190460474823357,0.4,0.1333333333333333,2.0,2.0,14/01/2022,70.0,14.0,8.0,12.0,17.0,12.75,90.56,87.44,KLEE,OUT,,small,16.0905,74.4695,71.3495,3.12,17.0,0.17,0.0531597658991813,0.0552528640255332,0.0565183274447917,0.0617740331217646,0.0747127520292997,0.0758378580212593,0.0605085678398609,0.0089649427682161,1.0,0.0,0.05,0.6593013213266613,0.032258064516129,0.3926744672275521,1.0,0.0,0.05,0.0,0.0,0.2478569071223504,4.267590336189812
3,Mpala01-3,3,0.3488372093023256,0.2558139534883721,0.3488372093023256,0.2558139534883721,3.0,3.0,14/01/2022,75.0,54.0,26.0,50.0,53.0,45.75,181.27,172.07,KLEE,OUT,,small,16.0905,165.1795,155.9795,9.2,54.0,0.54,0.0508390851318836,0.0734467394649982,0.1104505285620689,0.1816710010170936,0.206761172413826,0.2098085284233093,0.1212436631321907,0.0566500835120677,1.0,0.0,0.05,0.2383125241654623,0.032258064516129,0.5686327461499967,1.0,0.0,0.05,0.0,0.0,0.3152659989862418,5.049724588358043
4,Mpala01-4,4,0.8557246432531103,0.82542161295008,0.8939393939393939,0.8636363636363636,4.0,4.0,14/01/2022,100.0,38.0,25.0,34.0,64.0,40.25,420.07,387.73,KLEE,IN,BO,big,32.334,387.736,355.396,32.34,64.0,0.64,0.0537198260426521,0.1512426286935806,0.1963263154029846,0.2757149040699005,1.2708138751983644,1.3029143810272217,0.2809781730175018,0.2810881733894348,2.0,1.25,1.5,1.151265211162529,0.0806451612903225,1.1225814651460002,0.8531129956245422,0.4166666666666667,0.875,0.625,1.4,0.86945661367632,5.873232660733184
5,Mpala01-5,5,0.29742463500423194,0.04390350824366857,0.3098591549295774,0.056338028169014,5.0,5.0,14/01/2022,15.0,3.0,5.0,0.0,33.0,10.25,31.15,30.32,KLEE,OUT,,small,16.0905,15.0595,14.2295,0.83,33.0,0.33,0.0606064908206462,0.0732823284342885,0.090400543063879,0.1133137233555316,0.1409695991873741,0.1433744579553604,0.0961955115199089,0.0311931502074003,1.0,0.0,0.05,0.3533468712728035,0.032258064516129,0.2167702581163254,1.0,0.0,0.05,0.0,0.0,0.2058574542650237,2.6553172744500064
6,Mpala01-6,6,0.28243661379014506,0.021072977426508672,0.2954545454545454,0.034090909090909,6.0,6.0,14/01/2022,60.0,15.0,10.0,8.0,11.0,11.0,92.03,89.81,KLEE,OUT,,small,16.0905,75.9395,73.7195,2.22,15.0,0.15,0.0517491921782493,0.0585562027990818,0.0653632134199142,0.077809065580368,0.0892592495679855,0.0902549177408218,0.0691224411129951,0.015943057835102,1.0,0.0,0.05,0.58919384222574,0.0483870967741935,0.2961703143909631,1.0,0.0,0.05,0.0,0.0,0.1736281342355179,4.300267350358654
7,Mpala01-7,7,0.3047619047619048,0.20952380952380956,0.5619047619047619,0.4666666666666667,7.0,7.0,14/01/2022,90.0,26.0,13.0,10.0,17.0,16.5,120.47,117.12,KLEE,IN,AD,small,16.0905,104.3795,101.0295,3.35,26.0,0.26,0.063186764717102,0.1145239062607288,1.6252013444900513,1.7076650857925415,1.7928355693817135,1.8032104969024656,1.1749130487442017,0.7313655018806458,2.0,1.7,1.75,0.9714651917377608,0.0967741935483871,1.3452591278401205,0.9325639009475708,0.4857142857142857,0.9,0.85,1.0588235294117647,0.3945148333117597,4.6154125534023525
8,Mpala01-8,8,0.490909090909091,0.25454545454545463,0.5,0.2636363636363636,8.0,8.0,14/01/2022,100.0,19.0,23.0,17.0,15.0,18.5,197.14,193.03,KLEE,IN,AD,big,32.334,164.806,160.696,4.11,23.0,0.23,0.0518829710781574,0.071034736931324,0.0983533188700676,0.1116961017251014,0.6212558221817015,0.8481956720352173,0.1336720138788223,0.1803869158029556,1.0,0.0,0.05,0.0589486620227932,0.0483870967741935,0.6540580699398688,1.0,0.0,0.05,0.0,0.0,0.3217719059249366,5.079514381332246
9,Mpala01-9,9,0.24396310187524678,0.015391673303818174,0.2571428571428571,0.0285714285714285,9.0,9.0,14/01/2022,10.0,3.0,3.0,3.0,0.0,2.25,22.88,22.86,KLEE,OUT,,small,16.0905,6.7895,6.7695,0.02,3.0,0.03,0.0544375851750373,0.0544375851750373,0.0544375851750373,0.0544375851750373,0.0544375851750373,0.0544375851750373,0.0544375851750373,0.0,1.0,0.0,0.05,0.9184830634796002,0.0483870967741935,0.3398788304140617,1.0,0.0,0.05,0.0,0.0,0.1577417131267275,1.9124272289530286
