,Mpala01-13,Mpala01-1,Mpala01-2,Mpala01-3,Mpala01-4,Mpala01-5,Mpala01-6,Mpala01-7,Mpala01-8,Mpala01-9,Mpala01-10,Mpala01-11,Mpala01-12,Mpala01-14,Mpala01-15,Mpala01-16,Mpala01-17,Mpala01-18,Mpala01-19,Mpala01-20,Mpala01-21,Mpala01-22,Mpala01-23,Mpala01-24,Mpala01-25,Mpala01-26,Mpala01-27,Mpala01-29,Mpala01-30,Mpala01-28,Mpala02-53,Mpala02-55,Mpala02-54,Mpala02-56,Mpala02-57,Mpala02-58,Mpala02-59,Mpala02-48,Mpala02-45,Mpala02-44,Mpala02-46,Mpala02-47,Mpala02-49,Mpala02-51,Mpala02-50,Mpala02-52,Mpala02-42,Mpala02-37,Mpala02-36,Mpala02-35,Mpala02-34,Mpala02-60,Mpala02-32,Mpala02-33,Mpala02-31,Mpala02-39,Mpala02-40,Mpala02-41,Mpala02-38,Mpala02-43,Mpala03-61,Mpala03-62,Mpala03-63,Mpala03-64,Mpala03-65,Mpala03-66,Mpala03-68,Mpala03-67,Mpala03-69,Mpala03-70,Mpala03-71,Mpala03-72,Mpala03-73,Mpala03-74,Mpala03-75,Mpala03-76,Mpala03-78,Mpala03-77,Mpala03-79,Mpala03-80,Mpala03-81,Mpala03-82,Mpala03-83,Mpala03-84,Mpala03-85,Mpala03-86,Mpala03-87,Mpala03-88,Mpala03-89,Mpala03-90,Mpala05-91,Mpala05-92,Mpala05-95,Mpala05-93,Mpala05-94,Mpala05-96,Mpala05-97,Mpala05-101,Mpala05-98,Mpala05-99,Mpala05-100,Mpala05-102,Mpala05-108,Mpala05-103,Mpala05-104,Mpala05-105,Mpala05-106,Mpala05-107,Mpala05-111,Mpala05-109,Mpala05-110,Mpala05-112,Mpala05-113,Mpala05-114,Mpala05-115,Mpala05-116,Mpala05-117,Mpala05-118,Mpala05-119,Mpala05-120,Mpala07-125,Mpala07-122,Mpala07-124,Mpala07-126,Mpala07-127,Mpala07-128,Mpala07-129,Mpala07-130,Mpala07-131,Mpala07-132,Mpala07-133,Mpala07-134,Mpala07-135,Mpala07-136,Mpala07-137,Mpala07-138,Mpala07-139,Mpala07-140,Mpala07-141,Mpala07-142,Mpala07-143,Mpala07-144,Mpala07-145,Mpala07-146,Mpala07-147,Mpala07-148,Mpala07-149,Mpala07-150,Mpala09-152,Mpala09-151,Mpala09-153,Mpala09-154,Mpala09-155,Mpala10-157,Mpala10-159,Mpala10-158,Mpala10-161,Mpala10-160,Mpala10-163,Mpala10-162,Mpala10-164,Mpala10-167,Mpala10-166,Mpala10-165,Mpala15-188,Mpala15-189,Mpala15-190,Mpala15-191,Mpala15-192,Mpala15-193,Mpala15-194,Mpala15-195,Mpala15-196,Mpala15-197,Mpala15-200,Mpala15-198,Mpala15-199,Mpala07-121
0.0,8.439888201187498,7.235800892110056,6.203098566076792,1.9527693912783186,0.6154331733350732,5.847759269783872,6.058990891651386,2.0016691711396506,5.393271338982052,5.1902239097016905,0.43012410441927007,6.235592480616827,3.033691746641295,9.190646587568803,3.744230841762929,6.369074622370691,4.013413909243024,4.8938377504082515,4.181835957171187,3.2503785899554987,4.310392524071008,7.394940510121702,3.8008720577572994,7.713249616239695,5.690249953810037,0.91970226483647,7.133498878774649,4.688014116776882,8.256904308115734,2.6706278524904525,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15.006111887997879,-0.0,-0.0,-0.0,-0.0,3.88312028881915,19.110228900548726,15.7691472072854,21.97224577336219,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9062035960864956,13.862943611198904,9.84952970195588,1.258276508211384,4.462871026284193,10.644336274946165,-0.0,-0.0,3.152578884071663,8.283975761538379,5.5397356667006585,6.589584022604846,5.417499082707991,5.156582186041995,5.314063314660116,5.02628856561812,1.212492436328697,1.9939872044617608,2.152613283847309,6.029507891682333,4.341290104756553,3.88312028881915,4.963592589510692,2.1072103131565254,4.883939210240841,3.5040817805018123,7.056427492454846,2.6010625649639563,5.438674309672836,1.3798574297390287,2.288207023554884,2.412559755772295,1.3798574297390287,5.084682767684817,4.013413909243024,5.651339435700209,1.762145350205338,6.369074622370691,9.790964506374115,3.7179875628367736,9.508473934301495,6.369074622370691,3.7028486627119195,6.7622585215734565,7.342084804714364,11.075540219231797,3.7375474665963058,7.493868988828214,6.954482268372957,5.450145488650915,2.266573706140065,2.332738074515218,6.635547846340104,-0.0,3.775881425991441,6.896809725834593,7.493868988828214,1.7789497203299234,2.4722791193435327,1.399171772138207,4.846269348438599,11.284269943681045,5.247285289349823,2.412559755772295,3.120084969531623,4.716574216830507,3.708064466627253,5.075610415521994,5.156582186041995,1.7621453502053355,0.2963017157028117,2.2822661353484195,5.8533922792564015,5.96985977111993,1.0584480290868488,2.316636310502434,2.731510700115015,2.396023996252413,6.093208179723973,10.585186509096573,9.61945321232619,3.4125103406152673,3.8008720577572994,0.9304003126978563,5.19915048873852,7.851234065445129,6.896809725834593,2.1072103131565254,8.960494450539207,4.547796843913215,4.784593781316682,1.836150985062457,1.8618084613202395,1.7922431737937432,6.431672482549247,1.9905919069406612,2.1839858392998392,1.4464132315925229,4.984315832479696,0.4938522518074304,2.249559668533806,2.255909882906888,8.310308879233315,2.32144342505508,6.987512829142418,5.61229810457377,7.304806135953108,5.00449019833761,3.6464311358790917,5.925316322863448,14.431702317609574,1.836150985062457,1.9818180528846177,-0.0,0.769325616555921,-0.0,0.3149671393627833,1.062196506278968,-0.0,-0.0,3.3815266008786797,1.2907704227514234,-0.0,0.48782906248318475,-0.0,8.998337413579964
0.05,0.8952411572449271,-0.0,0.7155042182033664,1.4773210644691794,3.94228680182135,0.289936288251747,0.1734277899394499,1.1755987118046274,1.4688055926408154,0.14493768436626148,3.1563588842092893,0.09009252751339182,1.652818999675233,-0.0,-0.0,2.575820126822944,1.0968141423715188,0.2381402449462735,-0.0,1.7833747196936622,1.0147042199834513,0.7859279176120618,0.9502180144393249,0.7541144486729181,0.6068042850213373,2.316423394984953,0.10101353658759732,2.5790658263851487,0.9707800722047875,1.25657214140453,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.6258157147700302,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.259925618715286,-0.0,1.62711200217314,-0.0,-0.0,-0.0,-0.0,-0.0,1.5792647470923855,0.043668399843772764,0.33345687249336076,1.5269082477559086,3.551208069596228,1.6975357015818344,-0.0,-0.0,-0.0,7.5939177208298485,3.568832338813404,-0.0,1.561873425210762,0.8531275851538168,2.3390411934114996,3.1430432971118707,0.43505688494814904,-0.0,1.9602104388801185,-0.0,0.9116077839697729,-0.0,0.884653540795391,3.243477089945557,2.027325540540822,-0.0,1.0033534773107553,-0.0,1.9674445853072438,-0.0,0.08130260435890145,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.18183822085437415,-0.0,0.17966004613031664,0.40314867200054594,0.2763133933752471,1.3014154913183322,0.25646647193775285,0.10753102610481809,0.1176524870509708,-0.0,0.12821215306668834,-0.0,-0.0,0.23260007817446407,0.3449643574347572,1.5089333931666142,3.8659494411674094,2.3846203604515464,2.4417638395696604,-0.0,-0.0,0.20002667306849622,3.246722789507762,0.2479847056968603,1.7760163666363808,1.0381968238912225,1.3331433162697428,-0.0,2.5879120311443513,0.2098209954951604,-0.0,0.9707800722047875,3.0951960420311173,-0.0,0.7808036537764126,1.2473042981579154,0.1052670459891619,-0.0,0.43505688494814904,1.9432899489589157,-0.0,-0.0,-0.0,-0.0,0.5268025782891314,3.9633838795348924,-0.0,0.1176524870509708,-0.0,1.731381183589169,-0.0,0.06711510166070386,0.7541144486729181,0.2098209954951604,-0.0,0.05347644558373959,0.03745335864578812,3.3525235190509264,-0.0,-0.0,-0.0,0.2703361063513785,-0.0,-0.0,0.09524097485347237,0.1234630629518576,-0.0,-0.0,-0.0,-0.0,0.22731187038378642,-0.0,-0.0,-0.0,-0.0,-0.0
0.25,-0.0,-0.0,-0.0,-0.0,1.2738149244741384,-0.0,-0.0,-0.0,-0.0,-0.0,0.7463438223216488,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.04519822101573358,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.06837773343720027,-0.0,-0.0,-0.0,-0.0,0.08856450350885407,0.616602719309033,-0.0,-0.0,-0.0,-0.0,0.13560620670272536,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.45764140471097686,0.18608006253957127,0.5113334860395395,-0.0,-0.0,-0.0,0.14725589249086526,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5583436061329151,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.062016746143860796,0.06956697084747689,-0.0,-0.0,0.0592603431405628,-0.0,-0.0,-0.0,0.29960523269247086,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0707983083976039,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.18394045296729353,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.04102600066875644,-0.0,0.09877045036148609,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.2603241865595816,-0.0,0.8925742052568387,-0.0,0.13874223195155994,-0.0,0.0484854421293794,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0358746799310415,-0.0,-0.0,0.2170514342374679,-0.0,-0.0,-0.0,-0.0,-0.0,0.05442260822311439,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.05926034314056235,0.03940918577204638,-0.0,-0.0,1.3915089329408126,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.10300998440965896,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.03524251872861968,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.75,-0.0,-0.0,-0.0,-0.0,0.06106988852315368,-0.0,-0.0,0.01909311501063064,0.036529934253089896,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.23127828355530453,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.38368048751495704,-0.0,-0.0,0.27597148594780574,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.22227940461924306,-0.0,0.5113334860395395,-0.0,0.23398482672643398,-0.0,0.1975710213183059,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.056606300166347,-0.0,-0.0,0.23941868730057958,-0.0,-0.0,-0.0,-0.0,-0.0,0.27983435442764143,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.24896923550888359,-0.0,0.024169257823850345,0.08922303005719265,0.1396650604249115,-0.0,-0.0,0.29960523269247086,0.8692051027599256,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.038647643646947435,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.03404275867163448,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.021333383901450467,-0.0,-0.0,-0.0,-0.0,-0.0,0.3289523929478885,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0729503501991236,-0.0,-0.0
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.20753934147604675,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.301689601738512,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.3303463640370962,-0.0,-0.0,0.13560620670272536,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.026755952603186608,-0.0,0.045714783294490975,-0.0,0.40540997704114984,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.8747568038593178,-0.0,-0.0,0.35317042858271325,-0.0,-0.0,-0.0,-0.0,-0.0,0.25095336253369294,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.710055420903406,0.4018821214545385,0.6593135973857498,-0.0,-0.0,-0.0,1.0276416551401089,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.038647643646947435,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.10480948957609629,-0.0,-0.0,-0.0,-0.0,0.13560620670272536,-0.0,-0.0,-0.0,0.042781156466991675,-0.0,-0.0,-0.0,-0.0,-0.0,0.17940226466140669,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1.25,-0.0,-0.0,-0.0,-0.0,0.12308663466701464,-0.0,-0.0,0.03827780406460269,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.04519822101573358,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.24249848726573942,-0.0,-0.0,-0.0,-0.0,0.7292862271758184,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.024464908069744377,-0.0,-0.0,0.13560620670272536,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.045714783294490975,-0.0,0.0729503501991236,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.2553715939618117,-0.0,-0.0,-0.0,-0.0,-0.0,0.30892539174396066,-0.0,-0.0,-0.0,-0.0,-0.0,0.016842130145373977,-0.0,0.034632250972458166,-0.0,0.2742506857491862,0.5341255704980905,1.3932267770728635,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5144695112883744,-0.0,-0.0,0.14908557918892662,-0.0,1.0281804119595646,-0.0,-0.0,-0.0,0.15177972625649394,-0.0,-0.0,-0.0,-0.0,-0.0,0.10667298832864563,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.916454873202854,-0.0,-0.0,-0.0,-0.0,0.014842317586142406,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.36949328052406066,-0.0,-0.0,-0.0,-0.0,0.22863365535979455,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.8089474659795842,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.038647643646947435,-0.0,0.014842317586142852,-0.0,-0.0,-0.0,-0.0,0.5965726323865436,0.43453536401118165,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5538786970604207,-0.0,-0.0,0.6328960208595766,-0.0,0.19116265534539376,-0.0,-0.0,-0.0,0.08602482088385448,-0.0,-0.0,-0.0,-0.0,-0.0,0.25347845573035704,-0.0,-0.0,-0.0,-0.0,0.09486610646926417,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.11406068123208493,-0.0,-0.0
1.75,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.15535933326505558,-0.0,-0.0,-0.0,-0.0,0.07476853204861009,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.25515895150132034,-0.0,-0.0,-0.0,0.22863365535979455,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.11941185259872464,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.13874223195155994,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.03299959788856734,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.22863365535979455,-0.0,-0.0,-0.0,-0.0,-0.0,0.5341255704980905,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.042781156466991675,-0.0,-0.0,-0.0,-0.0,-0.0,0.14287233040831693,-0.0,-0.0,-0.0,-0.0,0.29162708323235115,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.8765421196666837,-0.0,-0.0
2.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.015534000105590532,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.6631690193709763,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.024464908069744377,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0819141253741627,-0.0,-0.0,-0.0,-0.0,0.39682660033379213,-0.0,-0.0,-0.0,-0.0,-0.0,0.09926067647889608,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.042781156466991675,-0.0,-0.0,-0.0,-0.0,-0.0,0.17940226466140716,-0.0,-0.0,-0.0,-0.0,0.03137270984410357,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.477160779787819,-0.0,-0.0
