,KrugerLowerSabie2022-A1,KrugerLowerSabie2022-A2,KrugerLowerSabie2022-A3,KrugerLowerSabie2022-A4,KrugerLowerSabie2022-A5,KrugerLowerSabie2022-A6,KrugerLowerSabie2022-A7,KrugerLowerSabie2022-A9,KrugerLowerSabie2022-A8,KrugerLowerSabie2022-A10,KrugerLowerSabie2022-B6,KrugerLowerSabie2022-B5,KrugerLowerSabie2022-B4,KrugerLowerSabie2022-B2,KrugerLowerSabie2022-B3,KrugerLowerSabie2022-B1,KrugerLowerSabie2022-A11,KrugerLowerSabie2022-A12,KrugerLowerSabie2022-A13,KrugerLowerSabie2022-B9,KrugerLowerSabie2022-B10,KrugerLowerSabie2022-B11,KrugerLowerSabie2022-B12,KrugerLowerSabie2022-B13,KrugerLowerSabie2022-B14,KrugerLowerSabie2022-B16,KrugerLowerSabie2022-B17,KrugerLowerSabie2022-A14,KrugerLowerSabie2022-A15,KrugerLowerSabie2022-A16,KrugerLowerSabie2022-B18,KrugerLowerSabie2022-B19,KrugerLowerSabie2022-A18,KrugerLowerSabie2022-A17,KrugerLowerSabie2022-A19,KrugerLowerSabie2022-A20,KrugerLowerSabie2022-B20,KrugerLowerSabie2022-B22,KrugerLowerSabie2022-B23,KrugerLowerSabie2022-A22,KrugerLowerSabie2022-B25,KrugerLowerSabie2022-A23,KrugerLowerSabie2022-A24,KrugerLowerSabie2022-A25,KrugerLowerSabie2022-B26,KrugerLowerSabie2022-B27,KrugerLowerSabie2022-A26,KrugerLowerSabie2022-A27,KrugerLowerSabie2022-A28,KrugerLowerSabie2022-A30,KrugerLowerSabie2022-A29,KrugerLowerSabie2022-B30,KrugerLowerSabie2022-B28,KrugerLowerSabie2022-B8,KrugerLowerSabie2022-B7
0.0,187,195,197,159,211,155,178,262,217,314,299,192,132,149,254,143,316,181,619,176,288,245,214,227,324,315,291,303,198,270,403,322,223,194,280,195,294,389,191,164,280,179,325,192,169,193,291,190,206,207,680,272,193,166,815
0.05,69,194,195,105,204,27,5,227,129,307,108,84,92,141,166,103,311,73,541,174,168,245,166,78,272,203,168,172,90,265,375,173,5,114,278,21,203,300,157,12,266,179,321,96,109,69,28,37,202,202,591,217,46,72,775
0.25,0,94,143,0,87,0,0,5,4,104,0,0,11,21,2,0,173,0,492,83,0,186,0,0,2,0,2,0,0,56,31,3,0,1,114,0,1,131,7,1,58,96,163,2,1,3,0,0,120,112,428,2,1,0,618
0.5,0,0,4,0,0,0,0,1,3,2,0,0,0,0,0,0,1,0,473,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,4,0,1,122,0,1,4,0,0,2,1,3,0,0,1,0,404,2,1,0,618
0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,617
1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,616
1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,615
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,603
1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,560
2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,532
2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,525
