,Mpala01-13,Mpala01-1,Mpala01-2,Mpala01-3,Mpala01-4,Mpala01-5,Mpala01-6,Mpala01-7,Mpala01-8,Mpala01-9,Mpala01-10,Mpala01-11,Mpala01-12,Mpala01-14,Mpala01-15,Mpala01-16,Mpala01-17,Mpala01-18,Mpala01-19,Mpala01-20,Mpala01-21,Mpala01-22,Mpala01-23,Mpala01-24,Mpala01-25,Mpala01-26,Mpala01-27,Mpala01-29,Mpala01-30,Mpala01-28,Mpala02-53,Mpala02-55,Mpala02-54,Mpala02-56,Mpala02-57,Mpala02-58,Mpala02-59,Mpala02-48,Mpala02-45,Mpala02-44,Mpala02-46,Mpala02-47,Mpala02-49,Mpala02-51,Mpala02-50,Mpala02-52,Mpala02-42,Mpala02-37,Mpala02-36,Mpala02-35,Mpala02-34,Mpala02-60,Mpala02-32,Mpala02-33,Mpala02-31,Mpala02-39,Mpala02-40,Mpala02-41,Mpala02-38,Mpala02-43,Mpala03-61,Mpala03-62,Mpala03-63,Mpala03-64,Mpala03-65,Mpala03-66,Mpala03-68,Mpala03-67,Mpala03-69,Mpala03-70,Mpala03-71,Mpala03-72,Mpala03-73,Mpala03-74,Mpala03-75,Mpala03-76,Mpala03-78,Mpala03-77,Mpala03-79,Mpala03-80,Mpala03-81,Mpala03-82,Mpala03-83,Mpala03-84,Mpala03-85,Mpala03-86,Mpala03-87,Mpala03-88,Mpala03-89,Mpala03-90,Mpala05-91,Mpala05-92,Mpala05-95,Mpala05-93,Mpala05-94,Mpala05-96,Mpala05-97,Mpala05-101,Mpala05-98,Mpala05-99,Mpala05-100,Mpala05-102,Mpala05-108,Mpala05-103,Mpala05-104,Mpala05-105,Mpala05-106,Mpala05-107,Mpala05-111,Mpala05-109,Mpala05-110,Mpala05-112,Mpala05-113,Mpala05-114,Mpala05-115,Mpala05-116,Mpala05-117,Mpala05-118,Mpala05-119,Mpala05-120,Mpala07-125,Mpala07-122,Mpala07-124,Mpala07-126,Mpala07-127,Mpala07-128,Mpala07-129,Mpala07-130,Mpala07-131,Mpala07-132,Mpala07-133,Mpala07-134,Mpala07-135,Mpala07-136,Mpala07-137,Mpala07-138,Mpala07-139,Mpala07-140,Mpala07-141,Mpala07-142,Mpala07-143,Mpala07-144,Mpala07-145,Mpala07-146,Mpala07-147,Mpala07-148,Mpala07-149,Mpala07-150,Mpala09-152,Mpala09-151,Mpala09-153,Mpala09-154,Mpala09-155,Mpala10-157,Mpala10-159,Mpala10-158,Mpala10-161,Mpala10-160,Mpala10-163,Mpala10-162,Mpala10-164,Mpala10-167,Mpala10-166,Mpala10-165,Mpala15-188,Mpala15-189,Mpala15-190,Mpala15-191,Mpala15-192,Mpala15-193,Mpala15-194,Mpala15-195,Mpala15-196,Mpala15-197,Mpala15-200,Mpala15-198,Mpala15-199,Mpala07-121
nlayers,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0,1.0,0,2.0,1.0,3.0,0,1.0,1.0,0,3.0,0,1.0
gapsize,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.7,0.0,0.0,0.0,0.0,1.95,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,2.2,0.0,0.0,0.0,1.25,1.95,0.0,0.0,2.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,1.45,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.7,0.0,2.2,1.45,0.0,0.0,0.0,1.45,1.7,1.45,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,1.7,0.0,1.45,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0,1.95,0.0,2.2,0,0.0,0.0,0,1.0,0,0.0
maxpeakh,0.05,0.05,0.05,0.05,1.5,0.05,0.05,1.75,0.05,0.05,0.25,0.05,2.0,0.05,0.05,0.05,0.05,2.75,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2.75,0.05,0.05,0.05,2.25,0.05,0.05,0.05,2.25,2.0,0.05,0.05,3.5,0.05,0.05,0.05,2.75,0.05,0.05,0.05,0.05,1.5,0.05,4.0,0.05,0.05,0.05,0.05,0.05,0.05,4.25,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.25,0.05,0.05,0.05,0.05,0.25,0.25,0.05,1.0,0.05,0.05,1.25,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.25,0.25,0.05,2.0,0.05,1.25,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.0,0.05,0.05,1.5,0.05,0.05,0.05,0.05,0.05,2.5,0.05,0.05,1.75,0.05,2.25,1.5,0.25,0.05,0.05,1.5,1.75,1.5,0.05,0.05,0.25,1.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.25,1.5,0.05,0.05,1.75,0.05,1.5,0.05,0.05,0.05,1.5,0.05,0.05,0.05,0.05,0.05,5.0,0.05,0,0.05,0,2.0,0.05,3.0,0,0.05,0.05,0,2.0,0,0.05
ptoh,0.6078735036488879,1.0457066789080773,0.6593013213266613,0.23831252416546236,1.151265211162529,0.35334687127280356,0.58919384222574,0.9714651917377607,0.05894866202279324,0.9184830634796002,0.8899193911135025,0.9563249368121578,1.0261076140165504,1.2036777402295673,2.2047469224886598,0.2676976800516011,0.49097144489247907,1.0127755647439889,1.9691348511959081,0.5001820392329429,0.28010018916369644,0.39123064203370156,0.5543507440081237,0.7352940776871997,0.27893394071765953,0.9735198887163861,0.807695709602059,0.27494435132095213,0.2979450403580963,1.0184367524041722,0.5542363792514371,1.5421873507908914,1.8734514991948503,0.9534264753534177,0.6499205505437754,2.2473339540871047,1.2207295330874621,1.0169465318723003,1.3609367409701731,2.543220087193262,1.9541408008342003,0.9431385896044246,1.6519518735023087,2.272922225269508,0.825339687697523,3.133153407011851,0.6684839823043026,3.122387059019628,0.9518470414270482,1.277647641623575,0.620192596580852,0.7584610811672203,0.6084893269110978,0.7352940776871997,0.6282895656764713,0.8536098131342551,2.229056783450825,1.8145703733857426,2.050444320106634,1.3263845497203004,0.25544289470002024,0.9200196032520839,0.29452985901300327,0.379338665455958,0.9861630937695773,0.35129123043733806,1.386435203200073,1.641472948768661,16.305240434084872,0.8822133228923922,0.46690070863800553,2.6501767498913242,0.7746672037385413,0.5991127874134012,0.22387455976762866,0.9238046363085733,0.4051526191257008,1.4838412349235055,0.23941343274024396,2.202562331296287,0.643620278131914,2.941238185377403,0.05990769969535558,0.9535868317248122,0.24650455796599707,1.6175730558047445,1.0308272391457347,2.691864593028089,0.9383354596015898,1.7901802774866415,0.8727625151433993,2.185242727475415,2.264712565427983,2.9511902870052884,2.437111466886961,1.9702297955448418,2.1737629887209495,2.0564303141496483,1.7334227941465337,1.4662505490830926,1.9830771010143011,1.8996992111814972,0.842846181593691,2.3435941571682553,0.7745161763332686,0.8242246905015626,0.7100536281021712,0.37088387916065974,0.8874863943945418,0.9434280010684212,0.8330510499122216,0.9045091846556498,0.8928502024988653,1.1518407237824866,1.1654461952436188,0.7568200838707532,0.8904957697722761,2.109955576751475,0.8829992852729384,0.03600640088001496,0.25426820972930436,0.9239059390740937,0.7674616652033953,1.0690213162610926,0.2755312494453152,0.6093844985250939,0.29535075228767455,0.8415133747010373,0.3930997438218565,1.315789515993603,0.3361272392531121,0.7429253182724849,1.0512544814377445,0.4983051990202728,0.04950785511373529,11.732886808222908,0.3877958411509879,0.37923675316463096,0.7721072095508668,3.316116671176022,0.6420432302553958,0.06660588301383275,1.4359645780849182,1.9282484342054538,2.498174367965797,2.25156541133032,0.7055165791317889,1.1528004404492564,0.8642058251437645,0.7117699210124593,1.029327057960327,1.0398517183580982,1.0367770719303886,0.8851439099269067,0.4041046795162609,0.45338480966593603,1.353218524638575,0.7207077699239521,1.148148649550641,0.2526330784176035,2.095370607581898,1.5264225926195503,1.0603916123641954,1.0950256438506758,1.3712121487652447,0,0.844529758788981,0,0.9822543116586002,1.1926764763642212,1.0864423173062328,0,0.9939165678003348,1.1943169058143894,0,0.8149452773501845,0,1.227022975060317
cscore,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.08064516129032258,0.03225806451612903,0.04838709677419355,0.0967741935483871,0.04838709677419355,0.04838709677419355,0.04838709677419355,0.03225806451612903,0.08064516129032258,0.016129032258064516,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.08064516129032258,0.016129032258064516,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.1774193548387097,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.016129032258064516,0.016129032258064516,0.11290322580645161,0.14516129032258066,0.016129032258064516,0.016129032258064516,0.14516129032258066,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.14516129032258066,0.016129032258064516,0.016129032258064516,0.03225806451612903,0.016129032258064516,0.0967741935483871,0.016129032258064516,0.20967741935483872,0.016129032258064516,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.16129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.016129032258064516,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.08064516129032258,0.016129032258064516,0.0967741935483871,0.03225806451612903,0.03225806451612903,0.0967741935483871,0.04838709677419355,0.016129032258064516,0.03225806451612903,0.016129032258064516,0.03225806451612903,0.016129032258064516,0.0967741935483871,0.04838709677419355,0.0967741935483871,0.016129032258064516,0.11290322580645161,0.016129032258064516,0.11290322580645161,0.016129032258064516,0.03225806451612903,0.03225806451612903,0.016129032258064516,0.03225806451612903,0.016129032258064516,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.016129032258064516,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.08064516129032258,0.016129032258064516,0.04838709677419355,0.14516129032258066,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.16129032258064516,0.04838709677419355,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.12903225806451613,0.04838709677419355,0.04838709677419355,0.0967741935483871,0.04838709677419355,0.11290322580645161,0.1774193548387097,0.0967741935483871,0.03225806451612903,0.04838709677419355,0.08064516129032258,0.06451612903225806,0.03225806451612903,0.016129032258064516,0.03225806451612903,0.03225806451612903,0.016129032258064516,0.04838709677419355,0.06451612903225806,0.016129032258064516,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.06451612903225806,0.016129032258064516,0.016129032258064516,0.03225806451612903,0.016129032258064516,0.03225806451612903,0.03225806451612903,0.08064516129032258,0.03225806451612903,0.016129032258064516,0.08064516129032258,0.016129032258064516,0.0967741935483871,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.20967741935483872,0.016129032258064516,0,0.03225806451612903,0,0.06451612903225806,0.016129032258064516,0.04838709677419355,0,0.03225806451612903,0.016129032258064516,0,0.11290322580645161,0,0.016129032258064516
FHD,0.4461368445195232,0.08957802666754391,0.39267446722755217,0.5686327461499967,1.1225814651460002,0.21677025811632547,0.29617031439096314,1.3452591278401203,0.6540580699398688,0.33987883041406175,1.0245498749807542,0.08957802666754391,0.8222677119363249,-0.0,0.11466528220290656,0.6740507779895553,0.49617272588608563,1.2113751963049837,-0.0,,0.5317728665580652,,0.4607316768343282,0.40496348506393853,0.48160237879386436,1.9758401567278145,0.09359996324581574,0.6742034619779163,0.4659992569610426,1.3009573950336955,0.2868359830561607,-0.0,-0.0,0.9726706859248235,1.7216730907175126,-0.0,-0.0,1.5572369810906825,-0.0,-0.0,-0.0,1.9503700041437015,-0.0,-0.0,0.13773348954192197,-0.0,1.5046454573244494,-0.0,2.0344300555026673,-0.0,0.4822459273311376,0.535959889216217,0.5672739606962847,0.18811292741457378,0.5587400294399866,1.7684072430678635,-0.0,,-0.0,-0.0,0.5840859317593606,0.20060153982720355,0.23921709381651282,0.5763341277567497,0.766729855180798,0.6002414407455903,-0.0,0.15841057013179086,0.13269142083987176,0.5942565490880964,1.1425545903223542,-0.0,1.3452725073785388,0.43443078354272047,0.6608575273573023,1.2410611022887474,0.37013909427807873,-0.0,0.6300861445587914,-0.0,0.45056120886630463,-0.0,1.5578972720282067,0.8465478897022689,1.597076229820042,-0.0,1.3898380949233595,-0.0,1.555836360827305,-0.0,0.08256493803586594,0.08957802666754391,-0.0,0.04453791243977348,-0.0,0.04754025770698057,0.034550767002815626,0.05969495842373064,-0.0,0.06719688036269783,0.07360379876031553,0.052171987463861744,1.2772496538027702,-0.0,0.2633069976546135,1.8751290169716341,0.26828555890466155,0.5382674532283412,0.1985152433458726,0.10296666046541246,0.11045304667259806,1.843510899253411,0.23547067224597007,0.052171987463861744,0.18408268793030735,0.1849073991677757,1.3005352490033417,0.6195637480528041,0.757637097253526,1.079540937885932,0.7236808002144344,1.4404482106686394,1.9201721550867747,1.3493018371792882,0.6921443948876715,0.3850155396712688,1.409172868893802,1.3853596661594894,0.5441150530887386,,0.6746159374578737,0.17141144375853556,-0.0,0.5586594380007455,0.8554013740254807,-0.0,0.41318818529793044,0.5278924272785966,0.10126481756679193,0.07487597323206041,0.3385957261451269,0.8326886502679653,-0.0,-0.0,0.10656595882801999,-0.0,0.3250829733914482,0.6886529090630944,1.2820715057856775,0.11045304667259806,-0.0,1.3181985524639928,-0.0,1.1803725050884517,0.40496348506393853,0.17141144375853556,0.06458143637762753,0.7890948570942253,0.04398581447708116,0.6928849351537185,-0.0,-0.0,-0.0,2.124248135052233,-0.0,0,0.09359996324581574,0,0.6652273750632512,-0.0,0.33422114621338306,0,0.18182028230491803,-0.0,0,1.3929938584174089,0,-0.0
VDR,0.8855887651443481,1.0,1.0,1.0,0.8531129956245422,1.0,1.0,0.9325639009475708,1.0,1.0,0.6956249475479126,1.0,1.0,1.0,1.0,0.8327710628509521,1.0,0.9822632670402527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8139851689338684,1.0,0.8101364374160767,0.9396869540214539,0.9572032690048218,0.777781069278717,1.0,1.0,0.9940559267997742,0.4923396110534668,1.0,1.0,0.6948598623275757,0.7361013889312744,1.0,1.0,0.4094940423965454,1.0,1.0,0.6462652087211609,1.0,0.522314190864563,1.0,0.3751622140407562,1.0,0.8717596530914307,0.7640529274940491,0.6967062950134277,0.8534426093101501,0.8138137459754944,0.2872362732887268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8237624168395996,0.7812995314598083,0.93369060754776,1.0,1.0,1.0,0.6587395071983337,0.8613017201423645,1.0,0.958700954914093,1.0,0.9026697874069214,0.94056636095047,1.0,1.0,0.8586076498031616,1.0,1.0,1.0,0.827071487903595,0.7137519717216492,0.6781495809555054,1.0,0.9726284146308899,1.0,0.9094029068946838,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9083922505378723,1.0,1.0,0.4210275113582611,1.0,0.9422844052314758,1.0,1.0,1.0,0.6791887283325195,1.0,1.0,1.0,1.0,0.9908431768417358,1.0,0.760538637638092,0.9628844857215881,0.8954492807388306,0.4018890857696533,0.47260576486587524,0.35311317443847656,0.7355573773384094,1.0,0.7100586891174316,0.2599940896034241,1.0,1.0,0.793920636177063,1.0,1.0,1.0,0.9504181742668152,1.0,1.0,0.8937526941299438,1.0,1.0,1.0,0.952723503112793,1.0,1.0,1.0,1.0,1.0,0.722694993019104,0.9941942095756531,1.0,1.0,0.9559488296508789,1.0,0.9757410883903503,1.0,1.0,1.0,1.0,1.0,0.7581110596656799,1.0,1.0,1.0,0.8259866833686829,1.0,0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,0,0.9813191294670105,0,1.0
VDRpeak,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.4857142857142857,0.0,0.0,0.0,0.0,0.48750000000000004,0.0,0.0,0.0,0.0,0.49090909090909096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.48888888888888893,0.0,0.0,0.0,0.5555555555555556,0.48750000000000004,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.48333333333333334,0.0,0.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48750000000000004,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.4857142857142857,0.0,0.48888888888888893,0.48333333333333334,0.0,0.0,0.0,0.48333333333333334,0.4857142857142857,0.48333333333333334,0.0,0.0,0.0,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.4857142857142857,0.0,0.48333333333333334,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.0,0.0,0.675,0.0,0,0.0,0,0.48750000000000004,0.0,0.25,0,0.0,0.0,0,0.5,0,0.0
meanpeakh,0.05,0.05,0.05,0.05,0.875,0.05,0.05,0.9,0.05,0.05,0.25,0.05,1.025,0.05,0.05,0.05,0.05,1.4,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.6666666666666667,0.05,0.05,0.05,1.15,0.05,0.05,0.05,1.0999999999999999,1.025,0.05,0.05,1.6833333333333333,0.05,0.05,0.05,1.5166666666666666,0.05,0.05,0.05,0.05,0.775,0.05,2.2,0.05,0.05,0.05,0.05,0.05,0.05,2.183333333333333,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.25,0.05,0.05,0.05,0.05,0.25,0.25,0.05,0.525,0.05,0.05,0.75,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.25,0.25,0.05,1.025,0.05,0.75,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.525,0.05,0.05,1.0,0.05,0.05,0.05,0.05,0.05,1.2666666666666666,0.05,0.05,0.9,0.05,1.15,0.775,0.25,0.05,0.05,0.775,0.9,0.775,0.05,0.05,0.25,0.525,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.25,0.775,0.05,0.05,0.9,0.05,0.775,0.05,0.05,0.05,0.775,0.05,0.05,0.05,0.05,0.05,2.075,0.05,0,0.05,0,1.025,0.05,1.7666666666666666,0,0.05,0.05,0,1.0166666666666666,0,0.05
stdpeakh,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.0,1.3499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0474837574980447,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.9009254501159719,0.975,0.0,0.0,1.4144099672851418,0.0,0.0,0.0,1.1145502331533659,0.0,0.0,0.0,0.0,0.725,0.0,1.4752118491931931,0.0,0.0,0.0,0.0,0.0,0.0,1.715290710702481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47500000000000003,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47500000000000003,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.000277739208244,0.0,0.0,0.85,0.0,1.1,0.725,0.0,0.0,0.0,0.725,0.85,0.725,0.0,0.0,0.0,0.47500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725,0.0,0.0,0.85,0.0,0.725,0.0,0.0,0.0,0.725,0.0,0.0,0.0,0.0,0.0,1.826369349282888,0.0,0,0.0,0,0.975,0.0,1.251887463880928,0,0.0,0.0,0,0.7961713941664124,0,0.0
