,Mpala01-13,Mpala01-1,Mpala01-2,Mpala01-3,Mpala01-4,Mpala01-5,Mpala01-6,Mpala01-7,Mpala01-8,Mpala01-9,Mpala01-10,Mpala01-11,Mpala01-12,Mpala01-14,Mpala01-15,Mpala01-16,Mpala01-17,Mpala01-18,Mpala01-19,Mpala01-20,Mpala01-21,Mpala01-22,Mpala01-23,Mpala01-24,Mpala01-25,Mpala01-26,Mpala01-27,Mpala01-29,Mpala01-30,Mpala01-28,Mpala02-53,Mpala02-55,Mpala02-54,Mpala02-56,Mpala02-57,Mpala02-58,Mpala02-59,Mpala02-48,Mpala02-45,Mpala02-44,Mpala02-46,Mpala02-47,Mpala02-49,Mpala02-51,Mpala02-50,Mpala02-52,Mpala02-42,Mpala02-37,Mpala02-36,Mpala02-35,Mpala02-34,Mpala02-60,Mpala02-32,Mpala02-33,Mpala02-31,Mpala02-39,Mpala02-40,Mpala02-41,Mpala02-38,Mpala02-43,Mpala03-61,Mpala03-62,Mpala03-63,Mpala03-64,Mpala03-65,Mpala03-66,Mpala03-68,Mpala03-67,Mpala03-69,Mpala03-70,Mpala03-71,Mpala03-72,Mpala03-73,Mpala03-74,Mpala03-75,Mpala03-76,Mpala03-78,Mpala03-77,Mpala03-79,Mpala03-80,Mpala03-81,Mpala03-82,Mpala03-83,Mpala03-84,Mpala03-85,Mpala03-86,Mpala03-87,Mpala03-88,Mpala03-89,Mpala03-90,Mpala05-91,Mpala05-92,Mpala05-95,Mpala05-93,Mpala05-94,Mpala05-96,Mpala05-97,Mpala05-101,Mpala05-98,Mpala05-99,Mpala05-100,Mpala05-102,Mpala05-108,Mpala05-103,Mpala05-104,Mpala05-105,Mpala05-106,Mpala05-107,Mpala05-111,Mpala05-109,Mpala05-110,Mpala05-112,Mpala05-113,Mpala05-114,Mpala05-115,Mpala05-116,Mpala05-117,Mpala05-118,Mpala05-119,Mpala05-120,Mpala07-125,Mpala07-122,Mpala07-124,Mpala07-126,Mpala07-127,Mpala07-128,Mpala07-129,Mpala07-130,Mpala07-131,Mpala07-132,Mpala07-133,Mpala07-134,Mpala07-135,Mpala07-136,Mpala07-137,Mpala07-138,Mpala07-139,Mpala07-140,Mpala07-141,Mpala07-142,Mpala07-143,Mpala07-144,Mpala07-145,Mpala07-146,Mpala07-147,Mpala07-148,Mpala07-149,Mpala07-150,Mpala09-152,Mpala09-151,Mpala09-153,Mpala09-154,Mpala09-155,Mpala10-157,Mpala10-159,Mpala10-158,Mpala10-161,Mpala10-160,Mpala10-163,Mpala10-162,Mpala10-164,Mpala10-167,Mpala10-166,Mpala10-165,Mpala15-188,Mpala15-189,Mpala15-190,Mpala15-191,Mpala15-192,Mpala15-193,Mpala15-194,Mpala15-195,Mpala15-196,Mpala15-197,Mpala15-200,Mpala15-198,Mpala15-199,Mpala07-121
0.0,0.5081967213114754,0.30357142857142855,0.4,0.3488372093023256,0.8939393939393939,0.30985915492957744,0.29545454545454547,0.5619047619047619,0.5,0.2571428571428571,0.6595744680851063,0.2857142857142857,0.44814814814814813,0.3684210526315789,0.17073170731707318,0.6753246753246753,0.3787878787878788,0.5129198966408269,0.18867924528301888,0.45,0.37755102040816324,0.45454545454545453,0.34615384615384615,0.46,0.3619047619047619,0.7228464419475656,0.32,0.6119402985074627,0.5147058823529411,0.5555555555555556,0,0,0,0,0,0,0.5277777777777778,0,1.0,1.0,1.0,0.5686274509803921,0.6153846153846154,0.5454545454545454,0.6666666666666666,0,0.5,0,0.611111111111111,0.0,0.0,0.0,0.45454545454545453,0.5,0.6666666666666666,0.36788617886178854,0.2,0.4126984126984127,0,0,0.4166666666666667,0.34782608695652173,0.3064516129032258,0.543859649122807,0.7627118644067796,0.5151515151515151,0.23333333333333334,0.2222222222222222,0.058823529411764705,0.8978102189781022,0.7653061224489796,0.2602739726027397,0.6646341463414634,0.3333333333333333,0.5934065934065934,0.7333333333333333,0.3,0.16071428571428573,0.6216216216216216,0.12195121951219512,0.40476190476190477,0.06666666666666667,0.7027027027027027,0.6363636363636364,0.8466666666666667,0.22448979591836735,0.5113636363636364,0.24615384615384617,0.6204819277108434,0.2727272727272727,0.4032258064516129,0.16964285714285715,0.3783783783783784,0.2727272727272727,0.16901408450704225,0.28688524590163933,0.30726256983240224,0.4252252252252252,0.17045454545454544,0.3125,0.2937062937062937,0.23853211009174313,0.5803571428571429,0.11009174311926606,0.3176470588235294,0.863849765258216,0.22580645161290322,0.5208333333333334,0.3625,0.10638297872340426,0.13953488372093023,0.4414414414414415,0.24050632911392406,0.43119266055045874,0.2403846153846154,0.1590909090909091,0.3981481481481481,0.47478991596638653,0.7230769230769231,0.6896551724137931,0.6136363636363636,0.4578313253012048,0.5441176470588235,0.6372549019607843,0.7313432835820896,0.3064516129032258,0.788659793814433,0.71875,0.3617021276595745,0.11290322580645161,0.6666666666666666,0.4520547945205479,0.38181818181818183,0.3333333333333333,0.6538461538461539,0.045454545454545456,0.37349397590361444,0.5454545454545454,0.3125,0.1,0.4444444444444444,0.559322033898305,0.2127659574468085,0.08771929824561403,0.08888888888888889,0.08571428571428572,0.375,0.6421052631578947,0.3793103448275862,0.09302325581395349,0.22058823529411764,0.5,0.10638297872340426,0.4266666666666667,0.48,0.1506849315068493,0.2948717948717949,0.35106382978723405,0.31343283582089554,0.7099236641221374,0.16666666666666666,0.2564102564102564,0.514018691588785,0.5263157894736842,0.09433962264150944,0.0,0.05660377358490566,0.024390243902439025,0.1171875,0.05172413793103448,0.045454545454545456,0.0,0.2,0.0625,0.013888888888888888,0.47991967871485947,0.0,0.36231884057971014
0.05,0.16393442622950818,0.0,0.13333333333333333,0.2558139534883721,0.8636363636363636,0.056338028169014086,0.03409090909090909,0.4666666666666667,0.2636363636363636,0.02857142857142857,0.6382978723404256,0.017857142857142856,0.3074074074074074,0.0,0.0,0.4025974025974026,0.19696969696969696,0.29586563307493546,0.0,0.3,0.1836734693877551,0.14545454545454545,0.17307692307692307,0.14,0.11428571428571428,0.6779026217228464,0.02,0.40298507462686567,0.17647058823529413,0.4305555555555556,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.392156862745098,0.0,0.0,0.0,0,0.5,0,0.611111111111111,0.0,0.0,0.0,0.36363636363636365,0.0,0.2777777777777778,0.30691056910569103,0.0,0.0,0,0,0.2708333333333333,0.008695652173913044,0.06451612903225806,0.2631578947368421,0.5254237288135594,0.2878787878787879,0.0,0.0,0.0,0.8029197080291971,0.6632653061224489,0.0,0.4695121951219512,0.1568627450980392,0.37362637362637363,0.6333333333333333,0.08333333333333333,0.0,0.32432432432432434,0.0,0.16666666666666666,0.0,0.5945945945945946,0.5227272727272727,0.78,0.0,0.32954545454545453,0.0,0.536144578313253,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4732142857142857,0.0,0.03529411764705882,0.863849765258216,0.053763440860215055,0.22916666666666666,0.05,0.02127659574468085,0.023255813953488372,0.3738738738738739,0.02531645569620253,0.0,0.009615384615384616,0.045454545454545456,0.2537037037037037,0.2647058823529412,0.5538461538461539,0.46551724137931033,0.38636363636363635,0.37349397590361444,0.5294117647058824,0.5294117647058824,0.47761194029850745,0.04838709677419355,0.7371134020618557,0.609375,0.23404255319148937,0.0,0.40404040404040403,0.0410958904109589,0.0,0.17647058823529413,0.4807692307692308,0.0,0.14457831325301204,0.22077922077922077,0.020833333333333332,0.0,0.08333333333333333,0.3559322033898305,0.0,0.0,0.0,0.0,0.1,0.5473684210526316,0.27586206896551724,0.023255813953488372,0.0,0.47560975609756095,0.0,0.32,0.14,0.0410958904109589,0.0,0.10638297872340426,0.007462686567164179,0.48854961832061067,0.0,0.0,0.0,0.43859649122807015,0.0,0.0,0.018867924528301886,0.024390243902439025,0.1015625,0.0,0.045454545454545456,0.0,0.044444444444444446,0.0,0.013888888888888888,0.45582329317269077,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.3181818181818182,0.0,0.0,0.2571428571428571,0.00909090909090909,0.0,0.1702127659574468,0.0,0.025925925925925925,0.0,0.0,0.0,0.0,0.2493540051679587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30711610486891383,0.0,0.0,0.0,0.20833333333333334,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.2745098039215686,0.0,0.0,0.0,0,0.5,0,0.611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.30691056910569103,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.021897810218978103,0.15306122448979592,0.0,0.20121951219512196,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.43243243243243246,0.045454545454545456,0.44666666666666666,0.0,0.14772727272727273,0.0,0.21084337349397592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.7863849765258216,0.0,0.0,0.0,0.0,0.0,0.3738738738738739,0.0,0.0,0.009615384615384616,0.0,0.18703703703703703,0.004201680672268907,0.015384615384615385,0.08620689655172414,0.0,0.37349397590361444,0.5294117647058824,0.49019607843137253,0.0,0.0,0.4381443298969072,0.421875,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.27586206896551724,0.0,0.0,0.18292682926829268,0.0,0.30666666666666664,0.0,0.0,0.0,0.09574468085106383,0.0,0.0,0.0,0.0,0.0,0.38596491228070173,0.0,0.0,0.0,0.0,0.1015625,0.0,0.045454545454545456,0.0,0.0,0.0,0.013888888888888888,0.45582329317269077,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.2571428571428571,0.00909090909090909,0.0,0.0,0.0,0.025925925925925925,0.0,0.0,0.0,0.0,0.2493540051679587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2958801498127341,0.0,0.0,0.0,0.20833333333333334,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.2745098039215686,0.0,0.0,0.0,0,0.5,0,0.611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.30691056910569103,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.20121951219512196,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.32432432432432434,0.0,0.32666666666666666,0.0,0.14772727272727273,0.0,0.1746987951807229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.6561032863849766,0.0,0.0,0.0,0.0,0.0,0.3738738738738739,0.0,0.0,0.009615384615384616,0.0,0.18703703703703703,0.004201680672268907,0.0,0.06896551724137931,0.0,0.37349397590361444,0.5147058823529411,0.49019607843137253,0.0,0.0,0.36597938144329895,0.421875,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.27586206896551724,0.0,0.0,0.18292682926829268,0.0,0.30666666666666664,0.0,0.0,0.0,0.09574468085106383,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.0,0.0,0.0,0.0,0.1015625,0.0,0.045454545454545456,0.0,0.0,0.0,0.013888888888888888,0.45582329317269077,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.2571428571428571,0.00909090909090909,0.0,0.0,0.0,0.025925925925925925,0.0,0.0,0.0,0.0,0.2493540051679587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.250936329588015,0.0,0.0,0.0,0.20833333333333334,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.2745098039215686,0.0,0.0,0.0,0,0.5,0,0.611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.30691056910569103,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17682926829268292,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.12666666666666668,0.0,0.11363636363636363,0.0,0.16265060240963855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.6032863849765259,0.0,0.0,0.0,0.0,0.0,0.3603603603603604,0.0,0.0,0.009615384615384616,0.0,0.18703703703703703,0.004201680672268907,0.0,0.06896551724137931,0.0,0.37349397590361444,0.5,0.4803921568627451,0.0,0.0,0.07216494845360824,0.421875,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.27586206896551724,0.0,0.0,0.18292682926829268,0.0,0.30666666666666664,0.0,0.0,0.0,0.09574468085106383,0.0,0.0,0.0,0.0,0.0,0.35964912280701755,0.0,0.0,0.0,0.0,0.1015625,0.0,0.045454545454545456,0.0,0.0,0.0,0.013888888888888888,0.45582329317269077,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.2523809523809524,0.0,0.0,0.0,0.0,0.025925925925925925,0.0,0.0,0.0,0.0,0.2493540051679587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19475655430711614,0.0,0.0,0.0,0.20833333333333334,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.2745098039215686,0.0,0.0,0.0,0,0.5,0,0.611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.30691056910569103,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08536585365853659,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.056818181818181816,0.0,0.1144578313253012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19642857142857142,0.0,0.0,0.54518779342723,0.0,0.0,0.0,0.0,0.0,0.2927927927927928,0.0,0.0,0.009615384615384616,0.0,0.18703703703703703,0.004201680672268907,0.0,0.008620689655172414,0.0,0.3674698795180723,0.47794117647058826,0.44607843137254904,0.0,0.0,0.0,0.2265625,0.0,0.0,0.0,0.0,0.0,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27586206896551724,0.0,0.0,0.18292682926829268,0.0,0.30666666666666664,0.0,0.0,0.0,0.09042553191489362,0.0,0.0,0.0,0.0,0.0,0.2807017543859649,0.0,0.0,0.0,0.0,0.1015625,0.0,0.045454545454545456,0.0,0.0,0.0,0.013888888888888888,0.43775100401606426,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.2523809523809524,0.0,0.0,0.0,0.0,0.025925925925925925,0.0,0.0,0.0,0.0,0.2493540051679587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14419475655430714,0.0,0.0,0.0,0.20833333333333334,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.2745098039215686,0.0,0.0,0.0,0,0.2222222222222222,0,0.611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.30691056910569103,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.018072289156626505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4606807511737089,0.0,0.0,0.0,0.0,0.0,0.231981981981982,0.0,0.0,0.009615384615384616,0.0,0.18703703703703703,0.004201680672268907,0.0,0.008620689655172414,0.0,0.20481927710843373,0.38235294117647056,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.18292682926829268,0.0,0.2733333333333333,0.0,0.0,0.0,0.0797872340425532,0.0,0.0,0.0,0.0,0.0,0.23684210526315794,0.0,0.0,0.0,0.0,0.1015625,0.0,0.045454545454545456,0.0,0.0,0.0,0.013888888888888888,0.43775100401606426,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24285714285714285,0.0,0.0,0.0,0.0,0.025925925925925925,0.0,0.0,0.0,0.0,0.2493540051679587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13295880149812736,0.0,0.0,0.0,0.20833333333333334,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.2156862745098039,0.0,0.0,0.0,0,0.05555555555555555,0,0.611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.30691056910569103,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19131455399061034,0.0,0.0,0.0,0.0,0.0,0.15765765765765766,0.0,0.0,0.009615384615384616,0.0,0.18703703703703703,0.0,0.0,0.0,0.0,0.13855421686746988,0.25735294117647056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12931034482758622,0.0,0.0,0.14634146341463414,0.0,0.04666666666666667,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.1015625,0.0,0.045454545454545456,0.0,0.0,0.0,0.013888888888888888,0.43775100401606426,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0380952380952381,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.2493540051679587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13295880149812736,0.0,0.0,0.0,0.20833333333333334,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.12745098039215685,0.0,0.0,0.0,0,0.0,0,0.611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.30691056910569103,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008215962441314553,0.0,0.0,0.0,0.0,0.0,0.15765765765765766,0.0,0.0,0.0,0.0,0.18333333333333332,0.0,0.0,0.0,0.0,0.0,0.15441176470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.14912280701754385,0.0,0.0,0.0,0.0,0.078125,0.0,0.045454545454545456,0.0,0.0,0.0,0.013888888888888888,0.40963855421686746,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003703703703703704,0.0,0.0,0.0,0.0,0.2493540051679587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07116104868913857,0.0,0.0,0.0,0.1527777777777778,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0980392156862745,0.0,0.0,0.0,0,0.0,0,0.611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.30691056910569103,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15765765765765766,0.0,0.0,0.0,0.0,0.12777777777777777,0.0,0.0,0.0,0.0,0.0,0.02941176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.11403508771929823,0.0,0.0,0.0,0.0,0.0078125,0.0,0.045454545454545456,0.0,0.0,0.0,0.013888888888888888,0.21285140562248994,0.0,0.0
