,Mpala01-13,Mpala01-1,Mpala01-2,Mpala01-3,Mpala01-4,Mpala01-5,Mpala01-6,Mpala01-7,Mpala01-8,Mpala01-9,Mpala01-10,Mpala01-11,Mpala01-12,Mpala01-14,Mpala01-15,Mpala01-16,Mpala01-17,Mpala01-18,Mpala01-19,Mpala01-20,Mpala01-21,Mpala01-22,Mpala01-23,Mpala01-24,Mpala01-25,Mpala01-26,Mpala01-27,Mpala01-29,Mpala01-30,Mpala01-28,Mpala02-53,Mpala02-55,Mpala02-54,Mpala02-56,Mpala02-57,Mpala02-58,Mpala02-59,Mpala02-48,Mpala02-45,Mpala02-44,Mpala02-46,Mpala02-47,Mpala02-49,Mpala02-51,Mpala02-50,Mpala02-52,Mpala02-42,Mpala02-37,Mpala02-36,Mpala02-35,Mpala02-34,Mpala02-60,Mpala02-32,Mpala02-33,Mpala02-31,Mpala02-39,Mpala02-40,Mpala02-41,Mpala02-38,Mpala02-43,Mpala03-61,Mpala03-62,Mpala03-63,Mpala03-64,Mpala03-65,Mpala03-66,Mpala03-68,Mpala03-67,Mpala03-69,Mpala03-70,Mpala03-71,Mpala03-72,Mpala03-73,Mpala03-74,Mpala03-75,Mpala03-76,Mpala03-78,Mpala03-77,Mpala03-79,Mpala03-80,Mpala03-81,Mpala03-82,Mpala03-83,Mpala03-84,Mpala03-85,Mpala03-86,Mpala03-87,Mpala03-88,Mpala03-89,Mpala03-90,Mpala05-91,Mpala05-92,Mpala05-95,Mpala05-93,Mpala05-94,Mpala05-96,Mpala05-97,Mpala05-101,Mpala05-98,Mpala05-99,Mpala05-100,Mpala05-102,Mpala05-108,Mpala05-103,Mpala05-104,Mpala05-105,Mpala05-106,Mpala05-107,Mpala05-111,Mpala05-109,Mpala05-110,Mpala05-112,Mpala05-113,Mpala05-114,Mpala05-115,Mpala05-116,Mpala05-117,Mpala05-118,Mpala05-119,Mpala05-120,Mpala07-125,Mpala07-122,Mpala07-124,Mpala07-126,Mpala07-127,Mpala07-128,Mpala07-129,Mpala07-130,Mpala07-131,Mpala07-132,Mpala07-133,Mpala07-134,Mpala07-135,Mpala07-136,Mpala07-137,Mpala07-138,Mpala07-139,Mpala07-140,Mpala07-141,Mpala07-142,Mpala07-143,Mpala07-144,Mpala07-145,Mpala07-146,Mpala07-147,Mpala07-148,Mpala07-149,Mpala07-150,Mpala09-152,Mpala09-151,Mpala09-153,Mpala09-154,Mpala09-155,Mpala10-157,Mpala10-159,Mpala10-158,Mpala10-161,Mpala10-160,Mpala10-163,Mpala10-162,Mpala10-164,Mpala10-167,Mpala10-166,Mpala10-165,Mpala15-188,Mpala15-189,Mpala15-190,Mpala15-191,Mpala15-192,Mpala15-193,Mpala15-194,Mpala15-195,Mpala15-196,Mpala15-197,Mpala15-200,Mpala15-198,Mpala15-199,Mpala07-121
0.0,8.439888201187498,7.235800892110056,6.203098566076792,1.9527693912783186,0.6154331733350754,5.847759269783872,6.058990891651386,2.0016691711396506,5.393271338982052,5.1902239097016905,0.43012410441927007,6.235592480616827,3.0336917466412983,9.190646587568803,3.744230841762929,6.369074622370691,4.013413909243024,4.893837750408254,4.181835957171187,3.2503785899554987,4.310392524071008,7.394940510121702,3.8008720577572994,7.713249616239695,5.690249953810037,0.9197022648364676,7.133498878774649,4.688014116776882,8.256904308115734,2.6706278524904525,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15.006111887997879,-0.0,-0.0,-0.0,-0.0,3.883120288819147,19.110228900548726,15.7691472072854,21.97224577336219,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9062035960864956,13.862943611198904,9.84952970195588,1.258276508211384,4.462871026284193,10.644336274946165,-0.0,-0.0,3.152578884071663,8.283975761538379,5.5397356667006585,6.589584022604846,5.417499082707991,5.156582186041995,5.314063314660116,5.02628856561812,1.212492436328697,1.9939872044617608,2.152613283847309,6.029507891682333,4.34129010475655,3.88312028881915,4.963592589510692,2.107210313156528,4.883939210240841,3.5040817805018123,7.056427492454846,2.6010625649639563,5.438674309672836,1.3798574297390287,2.288207023554884,2.412559755772295,1.3798574297390287,5.084682767684817,4.013413909243021,5.651339435700209,1.762145350205338,6.369074622370691,9.790964506374115,3.7179875628367736,9.508473934301495,6.369074622370691,3.7028486627119195,6.7622585215734565,7.342084804714364,11.075540219231797,3.7375474665963058,7.493868988828214,6.954482268372957,5.450145488650915,2.266573706140062,2.332738074515218,6.635547846340104,-0.0,3.775881425991441,6.896809725834593,7.493868988828214,1.7789497203299234,2.4722791193435327,1.3991717721382093,4.846269348438599,11.284269943681045,5.247285289349823,2.412559755772295,3.120084969531623,4.71657421683051,3.708064466627253,5.075610415521991,5.156582186041995,1.7621453502053355,0.296301715702814,2.282266135348422,5.8533922792564015,5.96985977111993,1.0584480290868488,2.316636310502434,2.731510700115015,2.396023996252413,6.093208179723973,10.585186509096573,9.61945321232619,3.4125103406152673,3.8008720577572994,0.9304003126978563,5.19915048873852,7.851234065445129,6.896809725834593,2.1072103131565254,8.960494450539207,4.5477968439132175,4.784593781316682,1.836150985062457,1.8618084613202395,1.7922431737937432,6.431672482549247,1.9905919069406612,2.1839858392998392,1.4464132315925229,4.984315832479696,0.4938522518074304,2.249559668533806,2.2559098829068853,8.310308879233315,2.32144342505508,6.987512829142418,5.612298104573768,7.304806135953108,5.00449019833761,3.6464311358790917,5.925316322863448,14.431702317609574,1.836150985062457,1.9818180528846177,-0.0,0.769325616555921,-0.0,0.3149671393627833,1.062196506278968,-0.0,-0.0,3.3815266008786797,1.2907704227514234,-0.0,0.4878290624831825,-0.0,8.998337413579964
0.05,0.8952411572449271,-0.0,0.7155042182033664,1.4773210644691794,3.94228680182135,0.289936288251747,0.1734277899394499,1.1755987118046274,1.4688055926408154,0.14493768436626148,3.1563588842092893,0.09009252751339182,1.652818999675233,-0.0,-0.0,2.575820126822944,1.0968141423715188,0.23814024494627292,-0.0,1.7833747196936622,1.0147042199834513,0.7859279176120618,0.9502180144393249,0.7541144486729181,0.6068042850213373,2.316423394984953,0.10101353658759732,2.5790658263851487,0.9707800722047875,1.25657214140453,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.6258157147700302,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.259925618715286,-0.0,1.62711200217314,-0.0,-0.0,-0.0,-0.0,-0.0,1.5792647470923855,0.043668399843772764,0.33345687249336076,1.5269082477559086,3.551208069596228,1.6975357015818344,-0.0,-0.0,-0.0,7.5939177208298485,3.568832338813405,-0.0,1.561873425210762,0.8531275851538168,2.3390411934114996,3.14304329711187,0.43505688494814904,-0.0,1.9602104388801185,-0.0,0.9116077839697729,-0.0,0.8846535407953904,3.243477089945557,2.0273255405408213,-0.0,1.003353477310756,-0.0,1.9674445853072438,-0.0,0.08130260435890145,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.18183822085437473,-0.0,0.17966004613031664,0.40314867200054594,0.2763133933752471,1.3014154913183322,0.25646647193775285,0.10753102610481809,0.1176524870509708,-0.0,0.12821215306668834,-0.0,-0.0,0.23260007817446407,0.3449643574347572,1.5089333931666142,3.8659494411674094,2.3846203604515464,2.4417638395696604,-0.0,-0.0,0.20002667306849564,3.246722789507762,0.2479847056968603,1.7760163666363808,1.0381968238912225,1.3331433162697428,-0.0,2.5879120311443513,0.2098209954951604,-0.0,0.9707800722047875,3.0951960420311173,-0.0,0.7808036537764126,1.2473042981579154,0.1052670459891619,-0.0,0.43505688494814904,1.9432899489589157,-0.0,-0.0,-0.0,-0.0,0.5268025782891314,3.9633838795348924,-0.0,0.1176524870509708,-0.0,1.731381183589169,-0.0,0.06711510166070386,0.7541144486729181,0.2098209954951604,-0.0,0.05347644558373959,0.03745335864578812,3.3525235190509264,-0.0,-0.0,-0.0,0.2703361063513785,-0.0,-0.0,0.09524097485347237,0.1234630629518576,-0.0,-0.0,-0.0,-0.0,0.22731187038378642,-0.0,-0.0,-0.0,-0.0,-0.0
0.25,-0.0,-0.0,-0.0,-0.0,1.2738149244741384,-0.0,-0.0,-0.0,-0.0,-0.0,0.7463438223216488,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.04519822101573358,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.06837773343720027,-0.0,-0.0,-0.0,-0.0,0.08856450350885407,0.616602719309033,-0.0,-0.0,-0.0,-0.0,0.13560620670272536,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.45764140471097686,0.18608006253957127,0.5113334860395401,-0.0,-0.0,-0.0,0.14725589249086526,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5583436061329157,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.062016746143860796,0.06956697084747689,-0.0,-0.0,0.05926034314056235,-0.0,-0.0,-0.0,0.29960523269247086,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0707983083976039,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.18394045296729353,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.08247714881094281,-0.0,0.14908557918892662,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.2603241865595816,-0.0,0.8925742052568387,-0.0,0.28247026885581367,-0.0,0.0975658124966365,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.072074022010713,-0.0,-0.0,0.21705143423746745,-0.0,-0.0,-0.0,-0.0,-0.0,0.05442260822311439,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0592603431405628,0.03940918577204638,-0.0,-0.0,1.9214656651251285,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.13794470428467728,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.07079830839760344,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.75,-0.0,-0.0,-0.0,-0.0,0.12308663466701464,-0.0,-0.0,0.03827780406460269,0.07339655467278616,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.231278283555305,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4650392244634479,-0.0,-0.0,0.27597148594780574,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.3382295521122525,-0.0,0.7614149139648756,-0.0,0.482511951154459,-0.0,0.30014074377165634,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.4471601784220114,-0.0,-0.0,0.24690231904382617,-0.0,-0.0,-0.0,-0.0,-0.0,0.5187112932341305,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.3606043879771903,-0.0,0.0484854421293794,0.11941185259872464,0.20104733912355324,-0.0,-0.0,0.3442984350849721,1.4987737977656428,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.07767234342840651,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.06837773343720027,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.042781156466991675,-0.0,-0.0,-0.0,-0.0,-0.0,0.5241130496256166,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.14725589249086526,-0.0,-0.0
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.27918304774216746,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.2437208648653155,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5761574808917508,-0.0,-0.0,0.27597148594780574,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.053692081328562645,-0.0,0.09195807289879487,-0.0,0.8565919536225273,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.3458889464848518,-0.0,-0.0,0.4465598845706777,-0.0,-0.0,-0.0,-0.0,-0.0,0.45764140471097686,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.2318669744931465,0.7058257493662261,1.022099843268998,-0.0,-0.0,-0.0,1.4987737977656428,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.07767234342840651,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.21243930125579363,-0.0,-0.0,-0.0,-0.0,0.27597148594780574,-0.0,-0.0,-0.0,0.08602482088385448,-0.0,-0.0,-0.0,-0.0,-0.0,0.29103741712971326,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1.25,-0.0,-0.0,-0.0,-0.0,0.2500814279253357,-0.0,-0.0,0.03827780406460269,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0909130043102247,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5006525718160242,-0.0,-0.0,-0.0,-0.0,1.621860432432657,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.04908037036725744,-0.0,-0.0,0.27597148594780574,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.09195807289879487,-0.0,0.14725589249086526,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.5038987183898371,-0.0,-0.0,-0.0,-0.0,-0.0,0.5187112932341305,-0.0,-0.0,-0.0,-0.0,-0.0,0.03375547458345838,-0.0,0.06956697084747689,-0.0,0.5135246665928269,0.77662405776383,2.2581192109514068,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0151220831043983,-0.0,-0.0,0.3039436279116884,-0.0,2.415664187328011,-0.0,-0.0,-0.0,0.3095466544616809,-0.0,-0.0,-0.0,-0.0,-0.0,0.14287233040831693,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.8572224325243916,-0.0,-0.0,-0.0,-0.0,0.02973991395007236,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.77662405776383,-0.0,-0.0,-0.0,-0.0,0.47113214262553404,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.039610033378821,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.07767234342840651,-0.0,0.044693202392500755,-0.0,-0.0,-0.0,-0.0,0.8565919536225273,0.7058257493662261,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9272064562292972,-0.0,-0.0,1.3851049468713352,-0.0,0.3919216334408152,-0.0,-0.0,-0.0,0.17394044775895512,-0.0,-0.0,-0.0,-0.0,-0.0,0.4449025404408975,-0.0,-0.0,-0.0,-0.0,0.19203687674544243,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.24852712442802463,-0.0,-0.0
1.75,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.31699748661656196,-0.0,-0.0,-0.0,-0.0,0.15096131193138787,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5277101721701922,-0.0,-0.0,-0.0,0.47113214262553404,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.24249848726573942,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2824702688558132,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.05673853996782565,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.47113214262553404,-0.0,-0.0,-0.0,-0.0,-0.0,0.9968631664959393,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.08602482088385448,-0.0,-0.0,-0.0,-0.0,-0.0,0.29103741712971326,-0.0,-0.0,-0.0,-0.0,0.6061995925088037,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.8703875568606823,-0.0,-0.0
2.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.03112856176821985,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.3793619451669186,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.04908037036725744,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.16554086465141746,-0.0,-0.0,-0.0,-0.0,0.7292862271758189,-0.0,-0.0,-0.0,-0.0,-0.0,0.24249848726573942,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.08602482088385448,-0.0,-0.0,-0.0,-0.0,-0.0,0.36723019701249143,-0.0,-0.0,-0.0,-0.0,0.06299342787255667,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9167434630806894,-0.0,-0.0
