,KrugerLowerSabie2022-A1,KrugerLowerSabie2022-A2,KrugerLowerSabie2022-A3,KrugerLowerSabie2022-A4,KrugerLowerSabie2022-A5,KrugerLowerSabie2022-A6,KrugerLowerSabie2022-A7,KrugerLowerSabie2022-A9,KrugerLowerSabie2022-A8,KrugerLowerSabie2022-A10,KrugerLowerSabie2022-B6,KrugerLowerSabie2022-B5,KrugerLowerSabie2022-B4,KrugerLowerSabie2022-B2,KrugerLowerSabie2022-B3,KrugerLowerSabie2022-B1,KrugerLowerSabie2022-A11,KrugerLowerSabie2022-A12,KrugerLowerSabie2022-A13,KrugerLowerSabie2022-B9,KrugerLowerSabie2022-B10,KrugerLowerSabie2022-B11,KrugerLowerSabie2022-B12,KrugerLowerSabie2022-B13,KrugerLowerSabie2022-B14,KrugerLowerSabie2022-B16,KrugerLowerSabie2022-B17,KrugerLowerSabie2022-A14,KrugerLowerSabie2022-A15,KrugerLowerSabie2022-A16,KrugerLowerSabie2022-B18,KrugerLowerSabie2022-B19,KrugerLowerSabie2022-A18,KrugerLowerSabie2022-A17,KrugerLowerSabie2022-A19,KrugerLowerSabie2022-A20,KrugerLowerSabie2022-B20,KrugerLowerSabie2022-B22,KrugerLowerSabie2022-B23,KrugerLowerSabie2022-A22,KrugerLowerSabie2022-B25,KrugerLowerSabie2022-A23,KrugerLowerSabie2022-A24,KrugerLowerSabie2022-A25,KrugerLowerSabie2022-B26,KrugerLowerSabie2022-B27,KrugerLowerSabie2022-A26,KrugerLowerSabie2022-A27,KrugerLowerSabie2022-A28,KrugerLowerSabie2022-A30,KrugerLowerSabie2022-A29,KrugerLowerSabie2022-B30,KrugerLowerSabie2022-B28,KrugerLowerSabie2022-B8,KrugerLowerSabie2022-B7
nlayers,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0
gapsize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0
maxpeakh,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25,2.75,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,1.75,0.25,0.25,0.25,4.0
ptoh,2.022101573710389,0.5922514263577899,0.9543287026234821,3.1242319514935333,0.5886508620609603,2.50938199060837,4.448226113155007,0.8334401773182042,0.4840302129132741,0.600782838356773,3.3037088462068787,2.2925613432569985,0.746342397696379,0.5990989670398396,1.0325761169037626,1.3185338306338845,1.1170106056078426,2.5142861923062987,0.9240421762030092,0.530855427489926,1.486132350064221,1.0372088120169005,1.158968355952551,3.1245323782203553,1.0377707551124198,1.4279025346143144,1.3747451742784202,1.4758530246690487,1.525329236460024,0.7357846339911336,0.8076721096504911,1.0161546920283002,4.019828667964821,1.2598869138653885,0.48858619183778307,3.0883771836250693,1.1030102464210443,1.024317104834974,0.8243305280183766,3.5023619606594854,0.4723084465697406,1.1508765697537024,0.5402434422241627,0.6608010017197835,1.5743290558600485,0.44306744643397145,3.2405483192897564,2.5039785887179944,1.1611254935391135,1.1314318822782439,0.7260752350912799,1.1332297976320576,3.0429366159620734,3.5400847577420445,0.909397160728018
cscore,0.03225806451612903,0.04838709677419355,0.06451612903225806,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.04838709677419355,0.04838709677419355,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.22580645161290322,0.06451612903225806,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.04838709677419355,0.06451612903225806,0.03225806451612903,0.04838709677419355,0.08064516129032258,0.03225806451612903,0.04838709677419355,0.12903225806451613,0.04838709677419355,0.04838709677419355,0.06451612903225806,0.04838709677419355,0.04838709677419355,0.06451612903225806,0.04838709677419355,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.04838709677419355,0.1935483870967742,0.04838709677419355,0.04838709677419355,0.03225806451612903,0.3064516129032258
FHD,0.33819898090787043,0.7428010662381923,0.7293425783665204,0.22565525233063266,0.7245071196103958,0.5623351446188083,0.6034513616339696,0.30187148792561364,0.47261559791084096,0.6858231062326681,0.42352386459682667,0.5349082431307516,0.6614102731164275,0.4834984572437725,0.24251966461203783,0.362210557135449,0.726955845892947,0.4713934868100942,2.30344603380924,0.8433842257894884,0.33575653406614847,0.5774192847082882,0.35384722742305474,0.6036372515003262,0.10374077127138398,0.4116460635813214,0.5086432655142993,0.453778542352929,0.6301742761045688,0.5686385120181223,0.4182584768414761,0.41641229691903625,0.6091937682672249,0.4449952615736606,0.7681244472509371,0.6078351158554206,0.38286847380427097,1.166995271495571,0.5244688520951903,0.6850464873457539,0.640587831858942,0.7210613129567109,0.7118302370748412,0.6259514227054251,0.43806235559076817,0.5550154165655165,0.2247897095094822,0.5165702917872189,0.7347015799413417,0.7169122225517892,2.024522995108784,0.27161269481737715,0.5787786091653315,0.3780972052797666,2.3624250639674678
VDR,0.708296537399292,0.43634262681007385,0.42506906390190125,0.4194236397743225,0.4899683892726898,0.7081227898597717,0.5377413630485535,0.7946507334709167,0.8999242186546326,0.6036722660064697,0.6482735276222229,0.6535979509353638,0.8148476481437683,0.6248685717582703,0.8246320486068726,0.661310076713562,0.472677618265152,0.6367243528366089,0.5348072052001953,0.6135398149490356,0.7322278022766113,0.3738797903060913,0.6195963025093079,0.6196905374526978,0.6167356371879578,0.6893192529678345,0.8992233872413635,0.7410374283790588,0.8029775023460388,0.6292573809623718,0.6278031468391418,0.9085222482681274,0.8074570894241333,0.8217648267745972,0.7061144709587097,0.7619964480400085,0.8740409016609192,0.9092653393745422,0.7054280042648315,0.9574164748191833,0.7256069183349609,0.42659518122673035,0.47277817130088806,0.9169862866401672,0.8819235563278198,0.9294317364692688,0.7761422395706177,0.7125058770179749,0.5105051398277283,0.44684070348739624,0.7111002206802368,0.8813159465789795,0.9506204724311829,0.36642777919769287,0.3462204933166504
VDRpeak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.5
meanpeakh,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25,1.5,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,1.0,0.25,0.25,0.25,2.0833333333333335
stdpeakh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0206207261596576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.532064692570853
