,featureid,id,coverherb_0m,coverherb_5cm,cover_0m,cover_5cm,Plot #,Letter,GPS #,Date Harvested,Site,% Cover,Height 1,Height 2,Height 3,Height 4,Dry Weight (g),Location,Tree Species,DPM,0,25,50,75,98,100,mean,std,nlayers,gapsize,maxpeakh,ptoh,cscore,FHD,VDR,VDRpeak,meanpeakh,stdpeakh,cvpeakh,herbh,PAIsum_0m,PAIsum_5cm,PAIsum_0mto1p5m,PAIsum_5cmto1p5m,PAImean_0mto1p5m,PAImean_5cmto1p5m,log(DryWeight)
0,KrugerLowerSabie2022-A1,A1,0.9444444444444444,0.8939393939393939,0.9444444444444444,0.8939393939393939,A1,A,1.0,Sep 26 2022,Lower Sabie west,70,2.0,6.0,5.0,2.0,18.03,No trees,,5.0,0.0204511024057865,0.0371812246739864,0.0466680414974689,0.05804143846035,0.0982160785794258,0.1518157720565796,0.0490293018519878,0.0183553881943225,1.0,0.0,0.25,2.022101573710389,0.032258064516129,0.3381989809078704,0.708296537399292,0.0,0.25,0.0,0.0,0.6996799177324583,4.591139321671396,4.487489185942224,4.591139321671396,4.487489185942224,0.5738924152089245,0.641069883706032,2.8920370372152258
1,KrugerLowerSabie2022-A2,A2,0.9948979591836736,0.9897959183673468,0.9948979591836736,0.9897959183673468,A2,A,2.0,Sep 26 2022,Lower Sabie west,100,50.0,40.0,45.0,45.0,137.58,No trees,,16.0,0.050519909709692,0.1881515607237815,0.2445000037550926,0.3004325926303863,0.3955399948358534,0.4320000112056732,0.2440463155508041,0.0811971053481102,1.0,0.0,0.25,0.5922514263577899,0.0483870967741935,0.7428010662381923,0.4363426268100738,0.0,0.25,0.0,0.0,0.986372484354112,2.7440468287513955,2.7338166274178537,2.7440468287513955,2.7338166274178537,0.34300585359392444,0.39054523248826484,4.924205566097869
2,KrugerLowerSabie2022-A3,A3,0.9899497487437184,0.9899497487437184,0.9899497487437184,0.9899497487437184,A3,A,3.0,Sep 26 2022,Lower Sabie west,100,75.0,85.0,70.0,65.0,300.17,No trees,,36.0,0.0397629812359809,0.244793951511383,0.3119122087955475,0.4057238698005676,0.5005475401878354,0.5405061841011047,0.3125618696212768,0.1132868379354476,1.0,0.0,0.5,0.954328702623482,0.064516129032258,0.7293425783665204,0.4250690639019012,0.0,0.5,0.0,0.0,1.1375046449499353,3.0716732219341103,3.0716732219341103,3.0716732219341103,3.0716732219341103,0.3839591527417638,0.4388104602763015,5.704348980827941
3,KrugerLowerSabie2022-A4,A4,0.9464285714285714,0.9404761904761904,0.9464285714285714,0.9404761904761904,A4,A,4.0,Sep 26 2022,Lower Sabie west,65,1.0,4.5,3.0,0.0,28.28,No trees,,4.5,0.0240357723087072,0.0478026689961552,0.053877642378211,0.0610944498330354,0.0736322239041328,0.0911631435155868,0.053982850164175,0.0103331143036484,1.0,0.0,0.25,3.1242319514935333,0.032258064516129,0.2256552523306326,0.4194236397743225,0.0,0.25,0.0,0.0,0.7200665367403207,5.65469810679143,5.642757772818422,5.65469810679143,5.642757772818422,0.7068372633489287,0.8061082532597746,3.342154841028372
4,KrugerLowerSabie2022-A5,A5,0.9906103286384976,0.9906103286384976,0.9906103286384976,0.9906103286384976,A5,A,5.0,Sep 26 2022,Lower Sabie west,100,65.0,70.0,60.0,70.0,162.31,No trees,,16.5,0.025786118581891,0.1605571955442428,0.2312145829200744,0.2876108586788177,0.3848313689231872,0.4487961530685425,0.2239909619092941,0.0885612145066261,1.0,0.0,0.25,0.5886508620609603,0.0483870967741935,0.7245071196103958,0.4899683892726898,0.0,0.25,0.0,0.0,0.966828310517233,2.795332109470465,2.795332109470465,2.795332109470465,2.795332109470465,0.3494165136838081,0.3993331584957807,5.089508086916979
5,KrugerLowerSabie2022-A6,A6,0.8611111111111112,0.75,0.8611111111111112,0.75,A6,A,6.0,Sep 26 2022,Lower Sabie west,70,20.0,15.0,2.0,5.0,20.01,No trees,,5.5,0.0202876888215541,0.0269059929996728,0.0369399040937423,0.0480147469788789,0.0889300766587256,0.1031440496444702,0.0398886203765869,0.0163087006658315,1.0,0.0,0.25,2.50938199060837,0.032258064516129,0.5623351446188083,0.7081227898597717,0.0,0.25,0.0,0.0,0.6257839499777275,3.0081547935525483,2.772588722239781,3.0081547935525483,2.772588722239781,0.37601934919406854,0.39608410317711157,2.996232148595642
6,KrugerLowerSabie2022-A7,A7,0.8944723618090452,0.7085427135678392,0.8944723618090452,0.7085427135678392,A7,A,7.0,Sep 26 2022,Lower Sabie west,40,5.0,5.5,5.0,5.0,25.25,No trees,,4.5,0.0201285034418106,0.0265049636363983,0.031981348991394,0.0375863835215568,0.0524908795952796,0.0594915300607681,0.0328374691307544,0.0082897022366523,1.0,0.0,0.25,4.448226113155007,0.032258064516129,0.6034513616339696,0.5377413630485535,0.0,0.25,0.0,0.0,0.6008009249625834,2.8771406073403627,2.465723628356146,2.8771406073403627,2.465723628356146,0.35964257591754534,0.35224623262230653,3.228826155721369
7,KrugerLowerSabie2022-A9,A9,0.9594179821675298,0.948428971178519,0.9597069597069596,0.9487179487179488,A9,A,9.0,Sep 26 2022,Lower Sabie west,100,40.0,45.0,25.0,45.0,109.34,No trees,,13.0,0.0199999995529651,0.080230614170432,0.1147405914962291,0.1440098993480205,0.2408619052171707,0.5424439311027527,0.115803524851799,0.0612076148390769,1.0,0.0,0.25,0.8334401773182042,0.064516129032258,0.3018714879256136,0.7946507334709167,0.0,0.25,0.0,0.0,0.7302772829339155,5.389025593354378,5.366925920981209,5.389025593354378,5.366925920981209,0.6736281991692973,0.7667037029973155,4.694462293466853
8,KrugerLowerSabie2022-A8,A8,0.9367188420685002,0.8717837771334352,0.9393939393939394,0.8744588744588745,A8,A,8.0,Sep 26 2022,Lower Sabie west,75,10.0,30.0,10.0,25.0,57.13,No trees,,8.5,0.0202298928052186,0.041452070698142,0.060506522655487,0.0867459774017334,0.1982715305685996,0.5278559327125549,0.0732654184103012,0.0653164386749267,1.0,0.0,0.25,0.4840302129132741,0.064516129032258,0.4726155979108409,0.8999242186546326,0.0,0.25,0.0,0.0,0.6985043764852943,4.060919870117786,3.9266412644425297,4.060919870117786,3.9266412644425297,0.5076149837647232,0.5609487520632185,4.045329372736371
9,KrugerLowerSabie2022-A10,A10,0.9952380952380953,0.9952380952380953,0.9952380952380953,0.9952380952380953,A10,A,10.0,Sep 26 2022,Lower Sabie west,95,60.0,45.0,55.0,65.0,136.81,No trees,,21.0,0.0219999998807907,0.1394537128508091,0.2050038799643516,0.2645727768540382,0.3866381853818894,0.516739547252655,0.2059858739376068,0.0877144113183021,1.0,0.0,0.25,0.600782838356773,0.064516129032258,0.6858231062326681,0.6036722660064697,0.0,0.25,0.0,0.0,0.9489217291797,2.989332081073951,2.989332081073951,2.989332081073951,2.989332081073951,0.3736665101342439,0.4270474401534216,4.918593101932023
10,KrugerLowerSabie2022-B6,B6,0.9373040752351096,0.8495297805642633,0.9373040752351096,0.8495297805642633,B6,B,6.0,Sep 26 2022,Lower Sabie west,0,0.0,0.0,0.0,0.0,0.75,Bareground,,1.0,0.0205196943134069,0.0371028371155262,0.0466337166726589,0.0558051262050867,0.0692807599902153,0.125160664319992,0.0463494285941123,0.0134552214294672,1.0,0.0,0.25,3.3037088462068787,0.032258064516129,0.4235238645968266,0.6482735276222229,0.0,0.25,0.0,0.0,0.6787599490153469,3.9717158549806113,3.7879801837539073,3.9717158549806113,3.7879801837539073,0.4964644818725764,0.5411400262505582,-0.2876820724517809
