,Mpala01-13,Mpala01-1,Mpala01-2,Mpala01-3,Mpala01-4,Mpala01-5,Mpala01-6,Mpala01-7,Mpala01-8,Mpala01-9,Mpala01-10,Mpala01-11,Mpala01-12,Mpala01-14,Mpala01-15,Mpala01-16,Mpala01-17,Mpala01-18,Mpala01-19,Mpala01-20,Mpala01-21,Mpala01-22,Mpala01-23,Mpala01-24,Mpala01-25,Mpala01-26,Mpala01-27,Mpala01-29,Mpala01-30,Mpala01-28,Mpala02-53,Mpala02-55,Mpala02-54,Mpala02-56,Mpala02-57,Mpala02-58,Mpala02-59,Mpala02-48,Mpala02-45,Mpala02-44,Mpala02-46,Mpala02-47,Mpala02-49,Mpala02-51,Mpala02-50,Mpala02-52,Mpala02-42,Mpala02-37,Mpala02-36,Mpala02-35,Mpala02-34,Mpala02-60,Mpala02-32,Mpala02-33,Mpala02-31,Mpala02-39,Mpala02-40,Mpala02-41,Mpala02-38,Mpala02-43,Mpala03-61,Mpala03-62,Mpala03-63,Mpala03-64,Mpala03-65,Mpala03-66,Mpala03-68,Mpala03-67,Mpala03-69,Mpala03-70,Mpala03-71,Mpala03-72,Mpala03-73,Mpala03-74,Mpala03-75,Mpala03-76,Mpala03-78,Mpala03-77,Mpala03-79,Mpala03-80,Mpala03-81,Mpala03-82,Mpala03-83,Mpala03-84,Mpala03-85,Mpala03-86,Mpala03-87,Mpala03-88,Mpala03-89,Mpala03-90,Mpala05-91,Mpala05-92,Mpala05-95,Mpala05-93,Mpala05-94,Mpala05-96,Mpala05-97,Mpala05-101,Mpala05-98,Mpala05-99,Mpala05-100,Mpala05-102,Mpala05-108,Mpala05-103,Mpala05-104,Mpala05-105,Mpala05-106,Mpala05-107,Mpala05-111,Mpala05-109,Mpala05-110,Mpala05-112,Mpala05-113,Mpala05-114,Mpala05-115,Mpala05-116,Mpala05-117,Mpala05-118,Mpala05-119,Mpala05-120,Mpala07-125,Mpala07-122,Mpala07-124,Mpala07-126,Mpala07-127,Mpala07-128,Mpala07-129,Mpala07-130,Mpala07-131,Mpala07-132,Mpala07-133,Mpala07-134,Mpala07-135,Mpala07-136,Mpala07-137,Mpala07-138,Mpala07-139,Mpala07-140,Mpala07-141,Mpala07-142,Mpala07-143,Mpala07-144,Mpala07-145,Mpala07-146,Mpala07-147,Mpala07-148,Mpala07-149,Mpala07-150,Mpala09-152,Mpala09-151,Mpala09-153,Mpala09-154,Mpala09-155,Mpala10-157,Mpala10-159,Mpala10-158,Mpala10-161,Mpala10-160,Mpala10-163,Mpala10-162,Mpala10-164,Mpala10-167,Mpala10-166,Mpala10-165,Mpala15-188,Mpala15-189,Mpala15-190,Mpala15-191,Mpala15-192,Mpala15-193,Mpala15-194,Mpala15-195,Mpala15-196,Mpala15-197,Mpala15-200,Mpala15-198,Mpala15-199,Mpala07-121
nlayers,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0,1.0,0,2.0,1.0,3.0,0,1.0,1.0,0,2.0,0,1.0
gapsize,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.25,1.98,0.0,0.0,2.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.48,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.73,0.0,2.23,1.48,0.0,0.0,0.0,1.48,1.73,1.48,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,1.73,0.0,1.48,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0,1.98,0.0,2.23,0,0.0,0.0,0,1.98,0,0.0
maxpeakh,0.02,0.02,0.02,0.02,1.5,0.02,0.02,1.75,0.02,0.02,0.25,0.02,2.0,0.02,0.02,0.25,0.02,2.75,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.75,0.02,0.25,0.02,2.25,0.02,0.02,0.02,2.25,2.0,0.02,0.02,3.5,0.02,0.02,0.02,2.75,0.02,0.02,0.25,0.02,1.5,0.02,4.0,0.02,0.02,0.02,0.25,0.02,0.02,4.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.25,0.25,0.02,0.02,0.02,0.02,0.25,0.25,0.02,1.0,0.02,0.25,1.25,0.02,0.02,0.25,0.02,0.02,0.02,0.25,0.25,0.25,0.02,2.0,0.02,1.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.0,0.02,0.02,1.5,0.02,0.02,0.02,0.02,0.02,2.5,0.02,0.02,1.75,0.02,2.25,1.5,0.25,0.25,0.25,1.5,1.75,1.5,0.25,0.02,0.25,1.0,0.02,0.02,0.25,0.02,0.02,0.02,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.25,0.02,0.02,0.02,0.02,0.02,0.25,1.5,0.02,0.02,1.75,0.02,1.5,0.02,0.02,0.02,1.5,0.02,0.25,0.02,0.02,0.02,5.0,0.02,0,0.02,0,2.0,0.02,3.0,0,0.02,0.02,0,2.0,0,0.02
ptoh,0.24314940145955516,0.41828267156323096,0.2637205285306645,0.09532500966618494,1.151265211162529,0.14133874850912143,0.235677536890296,0.9714651917377607,0.023579464809117295,0.36739322539184005,0.8899193911135025,0.3825299747248631,1.0261076140165504,0.48147109609182687,0.8818987689954639,1.3384884002580053,0.1963885779569916,1.0127755647439889,0.7876539404783632,0.20007281569317714,0.11204007566547858,0.1564922568134806,0.22174029760324948,0.29411763107487987,0.11157357628706381,0.9735198887163861,0.3230782838408236,1.3747217566047605,0.11917801614323853,1.0184367524041722,0.2216945517005748,0.6168749403163566,0.7493805996779401,0.9534264753534177,0.6499205505437754,0.8989335816348417,0.4882918132349848,1.0169465318723003,0.5443746963880692,1.017288034877305,0.78165632033368,0.9431385896044246,0.6607807494009235,0.9091688901078031,4.126698438487614,1.2532613628047404,0.6684839823043026,1.2489548236078512,0.9518470414270482,0.51105905664943,0.24807703863234082,0.3033844324668881,3.0424466345554886,0.29411763107487987,0.2513158262705885,0.8536098131342551,0.8916227133803301,0.7258281493542971,0.8201777280426534,0.5305538198881201,0.1021771578800081,0.3680078413008335,0.1178119436052013,1.89669332727979,0.9861630937695773,0.14051649217493523,0.5545740812800293,0.6565891795074644,6.5220961736339484,0.8822133228923922,0.46690070863800553,1.0600706999565297,0.7746672037385413,0.2396451149653605,1.1193727988381432,0.9238046363085733,0.1620610476502803,0.5935364939694022,1.1970671637012198,0.8810249325185148,0.2574481112527656,1.1764952741509611,0.2995384984767779,0.9535868317248122,0.24650455796599707,0.6470292223218977,1.0308272391457347,1.0767458372112357,0.9383354596015898,0.7160721109946566,0.3491050060573597,0.8740970909901661,0.905885026171193,1.1804761148021155,0.9748445867547844,0.7880919182179368,0.8695051954883797,0.8225721256598593,0.6933691176586135,0.586500219633237,0.7932308404057204,0.7598796844725988,0.842846181593691,0.9374376628673021,0.30980647053330745,0.8242246905015626,0.28402145124086847,0.1483535516642639,0.35499455775781674,0.37737120042736844,0.3332204199648886,0.9045091846556498,0.3571400809995461,0.4607362895129946,1.1654461952436188,0.30272803354830125,0.8904957697722761,2.109955576751475,0.8829992852729384,0.18003200440007477,1.2713410486465218,0.9239059390740937,0.7674616652033953,1.0690213162610926,1.3776562472265759,0.24375379941003755,0.29535075228767455,0.8415133747010373,0.15723989752874257,0.5263158063974412,1.6806361962655605,0.29717012730899395,0.4205017925750978,0.1993220796081091,0.24753927556867644,4.693154723289163,0.15511833646039516,0.15169470126585238,0.3088428838203467,1.3264466684704086,0.2568172921021583,0.3330294150691637,0.5743858312339672,0.7712993736821815,0.9992697471863188,0.900626164532128,0.28220663165271553,1.1528004404492564,0.8642058251437645,0.2847079684049837,0.41173082318413085,1.0398517183580982,0.41471082877215537,0.8851439099269067,0.16164187180650436,0.18135392386637442,0.54128740985543,0.7207077699239521,0.4592594598202564,1.2631653920880175,0.8381482430327591,0.6105690370478201,0.4241566449456782,1.0950256438506758,0.5484848595060978,0,0.33781190351559237,0,0.9822543116586002,0.4770705905456885,1.0864423173062328,0,0.3975666271201339,0.4777267623257558,0,0.8149452773501845,0,0.49080919002412676
cscore,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.08064516129032258,0.03225806451612903,0.04838709677419355,0.0967741935483871,0.04838709677419355,0.04838709677419355,0.04838709677419355,0.03225806451612903,0.08064516129032258,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.08064516129032258,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.1774193548387097,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.11290322580645161,0.16129032258064516,0.03225806451612903,0.03225806451612903,0.14516129032258066,0.03225806451612903,0.016129032258064516,0.03225806451612903,0.14516129032258066,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.016129032258064516,0.11290322580645161,0.016129032258064516,0.22580645161290322,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.1774193548387097,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.04838709677419355,0.08064516129032258,0.016129032258064516,0.0967741935483871,0.03225806451612903,0.03225806451612903,0.0967741935483871,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.016129032258064516,0.0967741935483871,0.04838709677419355,0.0967741935483871,0.03225806451612903,0.11290322580645161,0.016129032258064516,0.11290322580645161,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.04838709677419355,0.04838709677419355,0.03225806451612903,0.04838709677419355,0.04838709677419355,0.04838709677419355,0.08064516129032258,0.03225806451612903,0.04838709677419355,0.14516129032258066,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.16129032258064516,0.04838709677419355,0.04838709677419355,0.06451612903225806,0.03225806451612903,0.12903225806451613,0.04838709677419355,0.04838709677419355,0.0967741935483871,0.04838709677419355,0.11290322580645161,0.1774193548387097,0.0967741935483871,0.03225806451612903,0.04838709677419355,0.08064516129032258,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.06451612903225806,0.016129032258064516,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0967741935483871,0.03225806451612903,0.03225806451612903,0.08064516129032258,0.03225806451612903,0.0967741935483871,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.20967741935483872,0.03225806451612903,0,0.03225806451612903,0,0.06451612903225806,0.03225806451612903,0.06451612903225806,0,0.03225806451612903,0.03225806451612903,0,0.12903225806451613,0,0.03225806451612903
FHD,0.6897840967421709,0.5810446926425498,0.6365141682948128,0.6310051928046935,1.0182318315643377,0.5335989651593098,0.45001423854438066,1.3562377980535414,0.7648872673102411,0.7603741834880299,1.0179493281856835,0.5418526439168785,0.8828721405545725,0.5315315502943163,0.3083386903452212,0.6788267084867274,0.6554817739013927,1.38755376999654,0.217518571336808,0.6818546087307835,0.6517524266081576,0.6554817739013927,0.6319781608682513,0.6730116670092565,0.7263440503958352,1.9387189132784521,0.5773540491432572,0.6796085823169076,0.6822947159310485,1.3136415622946915,0.6931471805599453,0.42270908780599087,0.09650896073594732,1.2770483429692188,1.900370948230617,0.2640520518256287,0.3226617101246003,1.732127828307118,0.6254913597255729,-0.0,0.2711893730418441,1.9549856699526007,0.30784471596016366,0.07948700320303709,0.6894083317065154,-0.0,1.737984031948463,-0.0,2.206929680116846,0.36421465730196667,0.779889290720744,0.6921137666782082,0.6916588387203567,0.6600602334155767,0.6740507779895553,1.9425778121227495,0.098039113279732,0.19144408195771734,0.17884491271684755,0.37248071845219055,0.6499878819913242,0.549063417907881,0.44180334801001603,0.689294893666163,0.6478364610013747,0.6890092384766586,0.08476607571480994,0.3153962874226617,0.13269142083987176,0.43063560183964217,1.061552064984253,-0.0,1.3634455418328113,0.5876929781664841,0.688248462491752,1.1572216781513518,0.6235676513174672,0.08957802666754391,0.689856498589211,0.19490868718781756,0.6517565611726532,-0.0,1.5928709567958252,0.8192299997020129,1.5255226688321644,0.09962338946616205,1.4012989616428222,-0.0,1.537696274214143,0.2606370995339223,0.4913274484505221,0.1788313601195989,0.16965822650230866,0.04453791243977348,0.0740225961475812,0.24321980229766563,0.1196015471669042,0.20243499349964386,0.06217765171742483,0.28299059558995643,0.2008246397420572,0.10425902638121745,1.4257888080758363,0.15730188029318484,0.5352947511776694,1.8751290169716341,0.4424810999127555,0.6853142072764582,0.5172502020286036,0.23737779833967942,0.2530369754479396,1.953439377335842,0.31710594095522393,0.49859960725799857,0.5284643974185947,0.30463609734923813,1.473537389515499,0.7034498730315962,0.7382211188070028,1.0418884754437006,0.745814553417127,1.5578258588244023,2.0370659606261405,1.4796711391049122,0.633009843069364,0.6267975720875837,1.3632858596541069,1.3448879032627714,0.6090507476035167,0.1425058673927378,0.649607734102787,0.5733432888383475,0.5672739606962847,0.6953955313779998,0.8179698622021541,-0.0,0.5521884001610994,0.6910374151095725,0.48257756517701206,0.07487597323206041,0.6788243500752802,0.8785483596046892,0.38191331340697454,0.15200531083620292,0.21262682366313784,0.21903252178902116,0.6474466390346325,0.6685120770791868,1.4686648230978787,0.3094772867741259,0.22371807606583374,1.324679978320245,0.23737779833967942,1.365611921447646,0.6802920001921535,0.2497236395847507,0.377874645883052,1.013876762122276,0.3803847460681268,0.6382633520915921,0.34883209584303193,0.38296043076759545,0.37037582561906895,2.1870596070021415,0.217518571336808,0,0.217518571336808,0,0.6652273750632512,0.08709952319177525,0.49875846591288286,0,0.46800704307531993,0.08048483706800685,0,1.6046025736123746,0,0.5043945074610345
VDR,0.8855887651443481,1.0,1.0,1.0,0.8531129956245422,1.0,1.0,0.9325639009475708,1.0,1.0,0.6956249475479126,1.0,1.0,1.0,1.0,0.8327710628509521,1.0,0.9822632670402527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8139851689338684,1.0,0.8101364374160767,0.9396869540214539,0.9572032690048218,0.777781069278717,1.0,1.0,0.9940559267997742,0.4923396110534668,1.0,1.0,0.6948598623275757,0.7361013889312744,1.0,1.0,0.4094940423965454,1.0,1.0,0.6462652087211609,1.0,0.522314190864563,1.0,0.3751622140407562,1.0,0.8717596530914307,0.7640529274940491,0.6967062950134277,0.8534426093101501,0.8138137459754944,0.2872362732887268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8237624168395996,0.7812995314598083,0.93369060754776,1.0,1.0,1.0,0.6587395071983337,0.8613017201423645,1.0,0.958700954914093,1.0,0.9026697874069214,0.94056636095047,1.0,1.0,0.8586076498031616,1.0,1.0,1.0,0.827071487903595,0.7137519717216492,0.6781495809555054,1.0,0.9726284146308899,1.0,0.9094029068946838,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9083922505378723,1.0,1.0,0.4210275113582611,1.0,0.9422844052314758,1.0,1.0,1.0,0.6791887283325195,1.0,1.0,1.0,1.0,0.9908431768417358,1.0,0.760538637638092,0.9628844857215881,0.8954492807388306,0.4018890857696533,0.47260576486587524,0.35311317443847656,0.7355573773384094,1.0,0.7100586891174316,0.2599940896034241,1.0,1.0,0.793920636177063,1.0,1.0,1.0,0.9504181742668152,1.0,1.0,0.8937526941299438,1.0,1.0,1.0,0.952723503112793,1.0,1.0,1.0,1.0,1.0,0.722694993019104,0.9941942095756531,1.0,1.0,0.9559488296508789,1.0,0.9757410883903503,1.0,1.0,1.0,1.0,1.0,0.7581110596656799,1.0,1.0,1.0,0.8259866833686829,1.0,0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,0,0.9813191294670105,0,1.0
VDRpeak,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.495,0.0,0.0,0.0,0.0,0.49636363636363634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.5555555555555556,0.495,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.49333333333333335,0.0,0.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.4942857142857143,0.0,0.4955555555555555,0.49333333333333335,0.0,0.0,0.0,0.49333333333333335,0.4942857142857143,0.49333333333333335,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49333333333333335,0.0,0.0,0.4942857142857143,0.0,0.49333333333333335,0.0,0.0,0.0,0.49333333333333335,0.0,0.0,0.0,0.0,0.0,0.675,0.0,0,0.0,0,0.495,0.0,0.25,0,0.0,0.0,0,0.495,0,0.0
meanpeakh,0.02,0.02,0.02,0.02,0.875,0.02,0.02,1.0,0.02,0.02,0.25,0.02,1.01,0.02,0.02,0.25,0.02,1.385,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.6666666666666667,0.02,0.25,0.02,1.25,0.02,0.02,0.02,1.09,1.01,0.02,0.02,1.6733333333333331,0.02,0.02,0.02,1.5833333333333333,0.02,0.02,0.25,0.02,0.76,0.02,2.1925,0.02,0.02,0.02,0.25,0.02,0.02,2.1733333333333333,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.25,0.25,0.02,0.02,0.02,0.02,0.25,0.25,0.02,0.625,0.02,0.25,0.75,0.02,0.02,0.25,0.02,0.02,0.02,0.25,0.25,0.25,0.02,1.125,0.02,0.75,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.51,0.02,0.02,1.0,0.02,0.02,0.02,0.02,0.02,1.2566666666666666,0.02,0.02,0.885,0.02,1.135,0.76,0.25,0.25,0.25,0.76,0.885,0.76,0.25,0.02,0.25,0.625,0.02,0.02,0.25,0.02,0.02,0.02,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.25,0.02,0.02,0.02,0.02,0.02,0.25,0.76,0.02,0.02,0.885,0.02,0.76,0.02,0.02,0.02,0.76,0.02,0.25,0.02,0.02,0.02,2.0675,0.02,0,0.02,0,1.01,0.02,1.7566666666666666,0,0.02,0.02,0,1.01,0,0.02
stdpeakh,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,1.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0474837574980447,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.912615289520544,0.99,0.0,0.0,1.4259811437120136,0.0,0.0,0.0,1.0274023338281628,0.0,0.0,0.0,0.0,0.74,0.0,1.4861590594549428,0.0,0.0,0.0,0.0,0.0,0.0,1.727740978529157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0124667347073133,0.0,0.0,0.865,0.0,1.115,0.74,0.0,0.0,0.0,0.74,0.865,0.74,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.865,0.0,0.74,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,1.834712170886758,0.0,0,0.0,0,0.99,0.0,1.2656048180832575,0,0.0,0.0,0,0.99,0,0.0
