,featureid,id,coverherb_0m,coverherb_5cm,cover_0m,cover_5cm,Plot #,GPS #,Date Harvested,% Cover,Height 1,Height 2,Height 3,Height 4,Average Height,Wet Weight (g),Dry Weight (g),Site,Type,Tree Species,Bag Size,Average Bag Weight (g),Wet Weight Without Bag (g),Dry Weight Without Bag (g),Water Weight (g),Max Height (cm),Max Height (m),0,25,50,75,98,100,mean,std,nlayers,gapsize,maxpeakh,ptoh,cscore,FHD,VDR,VDRpeak,meanpeakh,stdpeakh,cvpeakh,herbh,PAIsum_0m,PAIsum_5cm,PAIsum_0mto1p5m,PAIsum_5cmto1p5m,PAImean_0mto1p5m,PAImean_5cmto1p5m,log(DryWeight)
0,Mpala01-13,13,0.5081967213114754,0.4590163934426229,0.5081967213114754,0.4590163934426229,13.0,13.0,14/01/2022,40.0,13.0,5.0,4.0,11.0,8.25,52.17,50.98,KLEE,OUT,,small,16.0905,36.0795,34.8895,1.19,13.0,0.13,0.0200435202568769,0.0287862494587898,0.0345760714262723,0.0543620325624942,0.0791176496446132,0.0822539553046226,0.0411383397877216,0.0171144232153892,1.0,0.0,0.02,0.2431494014595551,0.032258064516129,0.6897840967421709,0.8855887651443481,0.0,0.02,0.0,0.0,0.4329032979012269,1.3295943126674457,1.2287326054136618,1.3295943126674457,1.2287326054136618,0.1661992890834307,0.17553322934480883,3.552185924342199
1,Mpala01-1,1,0.3035714285714285,0.1964285714285714,0.3035714285714285,0.1964285714285714,1.0,1.0,14/01/2022,15.0,5.0,3.0,3.0,4.0,3.75,24.87,24.57,KLEE,OUT,,small,16.0905,8.7795,8.4795,0.3,5.0,0.05,0.0232484713196754,0.02466622274369,0.0301070287823677,0.0346483383327722,0.046513745188713,0.047814555466175,0.0311835333704948,0.0075868074782192,1.0,0.0,0.02,0.4182826715632309,0.0483870967741935,0.5810446926425498,1.0,0.0,0.02,0.0,0.0,0.2697242507933138,0.6640357725436651,0.4373784019296589,0.6640357725436651,0.4373784019296589,0.08300447156795814,0.06248262884709412,2.137651485801318
2,Mpala01-2,2,0.4,0.3333333333333333,0.4,0.3333333333333333,2.0,2.0,14/01/2022,70.0,14.0,8.0,12.0,17.0,12.75,90.56,87.44,KLEE,OUT,,small,16.0905,74.4695,71.3495,3.12,17.0,0.17,0.0246872343122959,0.0309796817600727,0.0412713754922151,0.0552528640255332,0.0724625400453806,0.0758378580212593,0.0440899841487407,0.0155871538445353,1.0,0.0,0.02,0.2637205285306645,0.032258064516129,0.6365141682948128,1.0,0.0,0.02,0.0,0.0,0.3591549823633619,0.9489159591902314,0.8109302162163285,0.9489159591902314,0.8109302162163285,0.11861449489877893,0.1158471737451898,4.267590336189812
3,Mpala01-3,3,0.3488372093023256,0.3255813953488372,0.3488372093023256,0.3255813953488372,3.0,3.0,14/01/2022,75.0,54.0,26.0,50.0,53.0,45.75,181.27,172.07,KLEE,OUT,,small,16.0905,165.1795,155.9795,9.2,54.0,0.54,0.023852813988924,0.0537935113534331,0.0823182240128517,0.1619381681084633,0.2058469656109809,0.2098085284233093,0.101744532585144,0.0626451298594474,1.0,0.0,0.02,0.0953250096661849,0.032258064516129,0.6310051928046935,1.0,0.0,0.02,0.0,0.0,0.354712504615901,0.8348695662345649,0.7878085714141766,0.8348695662345649,0.7878085714141766,0.10435869577932061,0.11254408163059666,5.049724588358043
4,Mpala01-4,4,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,4.0,4.0,14/01/2022,100.0,38.0,25.0,34.0,64.0,40.25,420.07,387.73,KLEE,IN,BO,big,32.334,387.736,355.396,32.34,64.0,0.64,0.0239022709429264,0.1362049058079719,0.1886895298957824,0.2575696408748626,0.3626022487878799,0.3747302591800689,0.1924780756235122,0.088898129761219,2.0,1.25,1.5,1.151265211162529,0.0806451612903225,1.0182318315643375,0.8531129956245422,0.4166666666666667,0.875,0.625,1.4,0.9149008971626728,2.719954105605034,2.719954105605034,2.719954105605034,2.719954105605034,0.33999426320062925,0.3885648722292906,5.873232660733184
5,Mpala01-5,5,0.3098591549295774,0.2253521126760563,0.3098591549295774,0.2253521126760563,5.0,5.0,14/01/2022,15.0,3.0,5.0,0.0,33.0,10.25,31.15,30.32,KLEE,OUT,,small,16.0905,15.0595,14.2295,0.83,33.0,0.33,0.0215629860758781,0.0326119475066661,0.0411827433854341,0.0481516225263476,0.1313501641154289,0.1433744579553604,0.0505091324448585,0.0313289351761341,1.0,0.0,0.02,0.1413387485091214,0.032258064516129,0.5335989651593098,1.0,0.0,0.02,0.0,0.0,0.2983397325155013,0.6872785979090454,0.5106933836176888,0.6872785979090454,0.5106933836176888,0.08590982473863068,0.07295619765966983,2.6553172744500064
6,Mpala01-6,6,0.27118556986022646,0.06664011531477193,0.2954545454545454,0.0909090909090909,6.0,6.0,14/01/2022,60.0,15.0,10.0,8.0,11.0,11.0,92.03,89.81,KLEE,OUT,,small,16.0905,75.9395,73.7195,2.22,15.0,0.15,0.0202985499054193,0.0237908591516315,0.0395500492304563,0.0551526974886655,0.0867700791358947,0.0902549177408218,0.0441080145537853,0.0230618529021739,1.0,0.0,0.02,0.235677536890296,0.0483870967741935,0.4500142385443806,1.0,0.0,0.02,0.0,0.0,0.188599491746373,0.6483035044663449,0.1906203596086498,0.6483035044663449,0.1906203596086498,0.08103793805829311,0.027231479944092828,4.300267350358654
7,Mpala01-7,7,0.5714285714285714,0.5357142857142857,0.5714285714285714,0.5357142857142857,7.0,7.0,14/01/2022,90.0,26.0,13.0,10.0,17.0,16.5,120.47,117.12,KLEE,IN,AD,small,16.0905,104.3795,101.0295,3.35,26.0,0.26,0.025415938347578,0.0519426064565777,0.0810177437961101,0.0956375189125537,0.1528121295571326,0.1725455224514007,0.0798190981149673,0.0337896049022674,2.0,1.5,1.75,0.9714651917377608,0.0967741935483871,1.3562377980535414,0.9325639009475708,0.4285714285714285,1.0,0.75,1.3333333333333333,0.480873151499136,1.607245593769084,1.5345103054273344,1.607245593769084,1.5345103054273344,0.2009056992211355,0.21921575791819062,4.6154125534023525
8,Mpala01-8,8,0.5,0.5,0.5,0.5,8.0,8.0,14/01/2022,100.0,19.0,23.0,17.0,15.0,18.5,197.14,193.03,KLEE,IN,AD,big,32.334,164.806,160.696,4.11,23.0,0.23,0.0213910024613142,0.0401317812502384,0.0529705211520195,0.0983533188700676,0.1287725901603698,0.1390086263418197,0.0655761212110519,0.0327176302671432,1.0,0.0,0.02,0.0235794648091172,0.0483870967741935,0.7648872673102411,1.0,0.0,0.02,0.0,0.0,0.4486117692628734,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.17328679513998632,0.19804205158855578,5.079514381332246
9,Mpala01-9,9,0.2571428571428571,0.2285714285714285,0.2571428571428571,0.2285714285714285,9.0,9.0,14/01/2022,10.0,3.0,3.0,3.0,0.0,2.25,22.88,22.86,KLEE,OUT,,small,16.0905,6.7895,6.7695,0.02,3.0,0.03,0.0240943133831024,0.030130872502923,0.0324647426605224,0.0463501662015914,0.0534577026963233,0.0544375851750373,0.0372007563710212,0.0101073961704969,1.0,0.0,0.02,0.36739322539184,0.0483870967741935,0.7603741834880299,1.0,0.0,0.02,0.0,0.0,0.272225611073582,0.5769974647166737,0.5190223909701691,0.5769974647166737,0.5190223909701691,0.07212468308958421,0.0741460558528813,1.9124272289530286
